,batch_size,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,16,16,0.610634069000298,209.61817641383112,2.7144742012023926,2.694849967956543
1,8,16,32,1.1514151789997413,222.33509221442833,2.738112449645996,2.7178945541381836
2,8,16,48,1.625612113999523,236.2187121349864,2.7663302421569824,2.742856502532959
3,8,16,64,2.1586619039990183,237.18396987110253,2.792729377746582,2.7678279876708984
4,8,16,80,2.7106450559986115,236.10616173581667,2.817269802093506,2.7904152870178223
5,8,16,96,3.257514500999605,235.76257289547922,2.843534469604492,2.814520835876465
6,8,16,112,3.8009622209992813,235.729783119086,2.8704237937927246,2.839372158050537
7,8,16,128,4.396164011999645,232.9303450018968,2.8965654373168945,2.8635454177856445
8,8,32,16,0.7164082259987481,178.66908189329428,2.7617831230163574,2.744202136993408
9,8,32,32,1.2388789479991829,206.63842937475508,2.7662558555603027,2.744202136993408
10,8,32,48,1.765476241000215,217.50505109173727,2.792717933654785,2.7678918838500977
11,8,32,64,2.321746012001313,220.52369094355117,2.817319393157959,2.790417194366455
12,8,32,80,2.852974728000845,224.32725874458234,2.843644142150879,2.8140134811401367
13,8,32,96,3.4075962689985317,225.37881232793745,2.8702282905578613,2.838430881500244
14,8,32,112,4.052163421998557,221.1164522970019,2.8966751098632812,2.8635473251342773
15,8,32,128,4.558689199999208,224.62597362421153,2.924403667449951,2.8899178504943848
16,8,48,16,0.8393700970009377,152.4953062508933,2.811594009399414,2.7930355072021484
17,8,48,32,1.384914411999489,184.84896812532736,2.811594009399414,2.7930355072021484
18,8,48,48,1.962372742998923,195.68147864363743,2.817505359649658,2.7930355072021484
19,8,48,64,2.5353655819999403,201.94326358099627,2.843369483947754,2.8140153884887695
20,8,48,80,3.057206920999306,209.34140754555267,2.870276927947998,2.838432788848877
21,8,48,96,3.599004440000499,213.392345801022,2.896540641784668,2.86354923248291
22,8,48,112,4.17044433600131,214.84521259888086,2.924025058746338,2.8899197578430176
23,8,48,128,4.772586581999349,214.55870572619813,2.9499683380126953,2.912600517272949
24,8,64,16,1.0090486770004645,126.85215581521551,2.8615880012512207,2.8420519828796387
25,8,64,32,1.5271654980006133,167.63081691876803,2.8615880012512207,2.8420519828796387
26,8,64,48,2.1227042310001707,180.9013212448669,2.8615880012512207,2.8420519828796387
27,8,64,64,2.706356259999666,189.1842576557394,2.8698830604553223,2.8420519828796387
28,8,64,80,3.242724427998837,197.36490540917143,2.8965282440185547,2.863551139831543
29,8,64,96,3.7962475740005175,202.30503544074054,2.9241347312927246,2.8894333839416504
30,8,64,112,4.401485271000638,203.56764701754926,2.949955940246582,2.912602424621582
31,8,64,128,5.079332527999213,201.6012919719909,2.9760518074035645,2.9361653327941895
32,8,80,16,1.1193760389996896,114.34941926609838,2.911932945251465,2.8914194107055664
33,8,80,32,1.6652748070009693,153.72838099979194,2.911932945251465,2.8914194107055664
34,8,80,48,2.241464517001077,171.3165642763621,2.911932945251465,2.8914194107055664
35,8,80,64,2.8257403480001813,181.1914531929128,2.911932945251465,2.8914194107055664
36,8,80,80,3.372036119000768,189.7963062713725,2.9240612983703613,2.8914194107055664
37,8,80,96,4.041820196000117,190.013400586209,2.9499435424804688,2.912604331970215
38,8,80,112,4.635556687999269,193.28854338457424,2.975978374481201,2.9361672401428223
39,8,80,128,5.251247972000783,195.00126550105475,3.0019216537475586,2.9606456756591797
40,8,96,16,1.2462929659996007,102.7045835064442,2.962979793548584,2.941488742828369
41,8,96,32,1.8210486080006376,140.57834528704154,2.962979793548584,2.941488742828369
42,8,96,48,2.4123992619988712,159.17763118606842,2.962979793548584,2.941488742828369
43,8,96,64,3.1278906549996464,163.68858648610845,2.962979793548584,2.941488742828369
44,8,96,80,3.5530247170008806,180.12821496503014,2.962979793548584,2.941488742828369
45,8,96,96,4.14817022600073,185.1418717549671,2.975904941558838,2.941488742828369
46,8,96,112,4.849264514999959,184.77028778868493,3.0019092559814453,2.9606475830078125
47,8,96,128,5.441058688000339,188.1986684426544,3.0281729698181152,2.9850258827209473
48,8,112,16,1.4205119379985263,90.10835923022901,3.0127906799316406,2.9903221130371094
49,8,112,32,2.0451720199998817,125.17284487395578,3.0127906799316406,2.9903221130371094
50,8,112,48,2.6311577950000355,145.94335646828617,3.0127906799316406,2.9903221130371094
51,8,112,64,3.2007990480014996,159.96005757364875,3.0127906799316406,2.9903221130371094
52,8,112,80,3.7687832840001647,169.81607902927962,3.0127906799316406,2.9903221130371094
53,8,112,96,4.39688459700119,174.6691283468753,3.0127906799316406,2.9903221130371094
54,8,112,112,5.009069899000679,178.8755234137887,3.0277209281921387,2.9903221130371094
