,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,128,128,5.3333954720000065,191.99776303406264,3.0505051612854004,3.035606861114502
1,8,1,128,256,10.383105104999999,197.24350079185683,3.245856761932373,3.2297921180725098
2,8,1,128,384,16.143323529999975,190.29538708625537,3.4418063163757324,3.4262852668762207
3,8,1,256,128,7.240486097000002,141.42696861530894,3.4344611167907715,3.4188361167907715
4,8,1,256,256,13.066969466999979,156.73106187108866,3.441272258758545,3.426422595977783
5,8,1,256,384,19.46819704699999,157.79581399261568,3.6364893913269043,3.620241641998291
6,8,1,384,128,9.20185173599998,111.2819494791306,3.8224425315856934,3.8068175315856934
7,8,1,384,256,15.670860313999981,130.68842162866864,3.8224425315856934,3.8068175315856934
8,8,1,384,384,22.767899935999992,134.92680522293742,3.831904888153076,3.8172383308410645
9,16,1,128,128,10.016866407999999,204.45515758943924,3.442086696624756,3.427072048187256
10,16,1,128,256,19.864088030999994,206.20126096943198,3.833186626434326,3.817439556121826
11,16,1,128,384,30.438381190999962,201.85041909576523,4.225085735321045,4.209460735321045
12,16,1,256,128,13.371102514999961,153.16612805133414,4.211095333099365,4.195470333099365
13,16,1,256,256,23.98408727200001,170.77989891997413,4.223962306976318,4.208337306976318
14,16,1,256,384,36.5786104,167.96701495254177,4.613664150238037,4.597917079925537
15,16,1,384,128,17.83998554699997,114.79829928138021,4.984860897064209,4.969235897064209
16,16,1,384,256,29.819319798000038,137.3606114340246,4.984860897064209,4.969235897064209
17,16,1,384,384,43.29433094399997,141.91234431933123,5.006381511688232,4.990390300750732
18,24,1,128,128,14.809964265999952,207.4279143976437,3.8347058296203613,3.8194470405578613
19,24,1,128,256,28.628255308000007,214.61314823062563,4.4198079109191895,4.4039998054504395
20,24,1,128,384,44.813959047000026,205.65020801519532,5.007656574249268,4.992031574249268
21,24,1,256,128,20.66038813499995,148.6903334016192,4.986752986907959,4.971127986907959
22,24,1,256,256,36.15048473699994,169.9562272732578,5.006786823272705,4.991344928741455
23,24,1,256,384,54.33664021799996,169.60930898607603,5.591339588165283,5.575897693634033
24,24,1,384,128,25.74918188599986,119.30476135516692,6.148744106292725,6.133119106292725
25,24,1,384,256,43.40273483300007,141.5579000641356,6.148744106292725,6.133119106292725
26,24,1,384,384,63.12537266000004,145.9951777178149,6.178501605987549,6.163425922393799
