,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,128,128,9.39529536199916,217.98143869786975,4.00452184677124,3.6054587364196777,3.6052145957946777,3.926992893218994
1,16,1,128,256,19.426639252000314,210.8444979528945,4.301149845123291,3.9015250205993652,3.9016470909118652,4.191687107086182
2,16,1,128,384,30.823745984998823,199.32684375838477,4.5991692543029785,4.199544429779053,4.199544429779053,4.458334445953369
3,16,1,128,512,44.56114862499817,183.83727199088412,4.896334171295166,4.49670934677124,4.49670934677124,4.724127292633057
4,16,1,256,128,11.979107054998167,170.96432902696964,4.409534454345703,4.010349273681641,4.010349273681641,4.3422746658325195
5,16,1,256,256,23.342549518998567,175.47354870838998,4.598970890045166,4.19946813583374,4.19946813583374,4.458364963531494
6,16,1,256,384,36.16271854599836,169.8987312633849,4.8950371742248535,4.495412349700928,4.495412349700928,4.722937107086182
7,16,1,256,512,51.19819243500024,160.00564884005092,5.192202091217041,4.792577266693115,4.792577266693115,4.988729953765869
8,16,1,384,128,14.563491548000457,140.6256180566251,4.909855842590332,4.5106706619262695,4.5106706619262695,4.816227912902832
9,16,1,384,256,27.322693168000114,149.9120154376717,4.909855842590332,4.5106706619262695,4.5106706619262695,4.816227912902832
10,16,1,384,384,41.53547881000122,147.9217328420589,5.192979335784912,4.793355464935303,4.793355464935303,4.989614963531494
11,16,1,384,512,57.33393394700033,142.88222412180386,5.489046573638916,5.08942174911499,5.08942174911499,5.254309177398682
12,16,1,512,128,17.086626075000822,119.85982434509977,5.410177230834961,5.010992050170898,5.010992050170898,5.2889604568481445
13,16,1,512,256,31.336503818001802,130.71017825693053,5.410177230834961,5.010992050170898,5.010992050170898,5.2889604568481445
14,16,1,512,384,46.970191164000425,130.8063656489645,5.4882378578186035,5.088990688323975,5.088990688323975,5.2889604568481445
15,16,1,512,512,64.08620876100031,127.82781441403108,5.786867618560791,5.387486934661865,5.387486934661865,5.521109104156494
16,32,1,128,128,12.9655021030012,315.9152624757876,4.6002726554870605,4.199866771697998,4.199866771697998,4.460717678070068
17,32,1,128,256,27.34770149799806,299.549854330525,5.192284107208252,4.7933430671691895,4.7933430671691895,4.990106105804443
18,32,1,128,384,44.7956927080013,274.31208799691467,5.787956714630127,5.3887715339660645,5.3887715339660645,5.523156642913818
19,32,1,128,512,65.68900097599908,249.41770702200594,6.382164478302002,5.9829792976379395,5.9829792976379395,6.054742336273193
20,32,1,256,128,18.004324064000684,227.50090397394462,5.410175323486328,5.010990142822266,5.010990142822266,5.2917680740356445
21,32,1,256,256,34.68157581000196,236.20610680664274,5.787926197052002,5.3887410163879395,5.3887410163879395,5.523217678070068
22,32,1,256,384,54.53552459599814,225.32101948280706,6.379936695098877,5.9807515144348145,5.9807515144348145,6.052606105804443
23,32,1,256,512,77.68370003100063,210.90653500620806,6.974144458770752,6.5749592781066895,6.5749592781066895,6.584191799163818
24,32,1,384,128,23.033403561999876,177.82869079572384,6.411290168762207,6.011631965637207,6.011631965637207,6.2374773025512695
25,32,1,384,256,42.56229415499911,192.4708280565703,6.411290168762207,6.011631965637207,6.011631965637207,6.2374773025512695
26,32,1,384,384,64.9001708120013,189.33694389796136,6.975822925567627,6.5766377449035645,6.5768818855285645,6.586205959320068
27,32,1,384,512,90.74397477599996,180.55193240591058,7.567589282989502,7.1684041023254395,7.1684041023254395,7.115106105804443
28,32,1,512,128,28.535071037000307,143.54266000210328,7.411458969116211,7.012273788452148,7.012273788452148,7.1846513748168945
29,32,1,512,256,50.891805434999696,160.96894048027104,7.411458969116211,7.012273788452148,7.012273788452148,7.1846513748168945
30,32,1,512,384,76.09230897399902,161.488068448532,7.565849781036377,7.1666646003723145,7.1666646003723145,7.1846513748168945
31,32,1,512,512,104.1362265539974,157.3323764665552,8.163475036621094,7.7642903327941895,7.7642903327941895,7.648461818695068
32,48,1,128,128,16.345337389000633,375.8870100861007,5.193339824676514,4.794154644012451,4.794154644012451,4.991878986358643
33,48,1,128,256,34.802152303000184,353.08161095946616,6.083491802215576,5.684306621551514,5.684306621551514,5.788158893585205
34,48,1,128,384,57.64766024999699,319.7354397397414,6.977305889129639,6.578120708465576,6.578120708465576,6.588100910186768
35,48,1,128,512,87.73292188599953,280.1228942532444,7.868556499481201,7.469371318817139,7.469371318817139,7.38547945022583
36,48,1,256,128,23.93769450799664,256.6663217273298,6.411289215087891,6.011631011962891,6.011631011962891,6.2402849197387695
37,48,1,256,256,45.77585365100094,268.43846744366084,6.974757671356201,6.575938701629639,6.575938701629639,6.585995197296143
38,48,1,256,384,72.97427448300004,252.58216173555635,7.865642070770264,7.466823101043701,7.466823101043701,7.382275104522705
39,48,1,256,512,105.5826024449998,232.76562076410417,8.756526947021484,8.357707977294922,8.357707977294922,8.17928695678711
40,48,1,384,128,32.00935972300067,191.94385808302073,7.911778450012207,7.5125932693481445,7.5125932693481445,7.660191535949707
41,48,1,384,256,58.17573026299942,211.22210145792255,7.911778450012207,7.5125932693481445,7.5125932693481445,7.660191535949707
42,48,1,384,384,88.60739415400167,208.01875707985232,8.757640838623047,8.358455657958984,8.358455657958984,8.180843353271484
43,48,1,384,512,125.90660757899968,195.19229747001063,9.64706039428711,9.247875213623047,9.247875213623047,8.976390838623047
44,48,1,512,128,41.221078866001335,149.04995621226934,9.412740707397461,9.013555526733398,9.013555526733398,9.078877449035645
45,48,1,512,256,71.86839189099919,170.97919790158755,9.412740707397461,9.013555526733398,9.013555526733398,9.078877449035645
46,48,1,512,384,106.54070972599948,173.00429148072382,9.644145965576172,9.24496078491211,9.24496078491211,9.078877449035645
