,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,64,64,9.06253397599994,112.99267983014806,6.203441143035889,6.955136775970459,6.955136775970459,6.145390033721924
1,16,2,64,64,8.520102705999989,120.18634461752242,6.229825973510742,6.98048210144043,6.980634689331055,6.171181678771973
2,16,4,64,64,11.54578990799996,88.69033718433425,6.294289588928223,7.045707702636719,7.045594215393066,6.236973762512207
3,16,8,64,64,18.45201311699998,55.49529980859276,6.512057304382324,7.183485984802246,7.1794233322143555,6.372737884521484
4,16,1,64,128,17.778887869999835,115.1928070515481,6.737094402313232,7.45643949508667,7.45643949508667,6.588314533233643
5,16,2,64,128,16.977906748999885,120.62735590891623,6.729937553405762,7.448214530944824,7.448061943054199,6.580349922180176
6,16,4,64,128,23.233910414000093,88.14702146591448,6.722620964050293,7.440936088562012,7.440783500671387,6.572829246520996
7,16,8,64,128,36.8898962180001,55.516556292199496,6.719155311584473,7.4376420974731445,7.4380998611450195,6.569069862365723
8,16,1,64,192,27.062158016000012,113.51644603448607,6.952540874481201,7.710643291473389,7.710643291473389,6.784016132354736
9,16,2,64,192,25.709590726999977,119.48848321314635,6.932639122009277,7.690741539001465,7.690741539001465,6.763779640197754
10,16,4,64,192,35.258822793000036,87.12712894685431,6.994022369384766,7.681065559387207,7.716670989990234,6.753548622131348
11,16,8,64,192,55.41461620700011,55.436637664774395,7.068078994750977,7.6808366775512695,7.863154888153076,6.754213333129883
12,16,1,64,256,37.41854059399975,109.46445091064867,7.318103313446045,7.954867839813232,8.15091323852539,6.96958589553833
13,16,2,64,256,35.06607495699973,116.8080546517618,7.3265790939331055,7.9270124435424805,8.15870189666748,6.942021369934082
14,16,4,64,256,47.25843632800024,86.67235563130879,7.33225154876709,7.914938926696777,8.200133323669434,6.929308891296387
15,16,8,64,256,74.54040971599989,54.95006018354103,7.327059745788574,7.909976005554199,8.194903373718262,6.9232587814331055
16,16,1,128,64,10.489592135999999,97.62057349071367,6.455803871154785,7.207070350646973,7.207070350646973,6.35781192779541
17,16,2,128,64,9.616182901999991,106.48715924351092,6.450448513031006,7.216338157653809,7.216490745544434,6.372148036956787
18,16,4,128,64,12.355849894000016,82.87572354672689,6.5038933753967285,7.280453681945801,7.280682563781738,6.435438632965088
19,16,8,128,64,18.806651821000003,54.44882001040582,6.634637832641602,7.416131973266602,7.416131973266602,6.5611252784729
20,16,1,128,128,19.888604705999967,102.97353837909817,6.872294902801514,7.701228618621826,7.701228618621826,6.775143146514893
21,16,2,128,128,18.389574105999998,111.3674513719051,6.862154960632324,7.691164016723633,7.690935134887695,6.764164924621582
22,16,4,128,128,24.114661119000004,84.9275878227613,6.852049827575684,7.681402206420898,7.682008743286133,6.754656791687012
23,16,8,128,128,37.539574722,54.555759226536296,6.846311569213867,7.675607681274414,7.675246238708496,6.748358726501465
24,16,1,128,192,29.459233154000003,104.27970015176315,7.084994792938232,7.95314359664917,7.95314359664917,6.968220233917236
25,16,2,128,192,27.44484485600003,111.93358957277526,7.059439659118652,7.927434921264648,7.927512168884277,6.942330360412598
