name,time,memory_gpu_0,max_memory_gpu_0,memory_gpu_1,max_memory_gpu_1
start,0.0,2.650376319885254,2.650378704071045,2.634751319885254,2.634753704071045
stop,4.414496914001575,2.88909912109375,2.891122341156006,2.86053466796875,2.865671157836914
