k,world_size,hit_rate_sort,hit_rate_naive,traffic_reduction_pct,avg_transfers_sort,avg_transfers_naive,num_tokens
1,2,0.99681396484375,0.5008544921875,99.36148558645884,0.00318603515625,0.4991455078125,32768.0
1,4,0.9963104248046875,0.2491943359375,99.50828936826323,0.0036895751953125,0.7508056640625,32768.0
1,8,0.9932281494140625,0.125164794921875,99.22590403601795,0.0067718505859375,0.874835205078125,32768.0
1,16,0.9911865234375,0.06259765625,99.05982190190386,0.0088134765625,0.93740234375,32768.0
1,32,0.9877685546875,0.031597900390625,98.73696372539935,0.0122314453125,0.968402099609375,32768.0
2,2,0.91712646484375,0.7540252685546875,32.6546009161173,0.6727020263671875,0.9989044189453125,32768.0
2,4,0.8897857666015625,0.4398773193359375,39.31573994666493,0.91077880859375,1.5008514404296875,32768.0
2,8,0.8804534912109375,0.2361541748046875,41.397602958071865,1.0257354736328126,1.75032958984375,32768.0
2,16,0.8791290283203125,0.1223297119140625,42.339883178497814,1.080987548828125,1.8747589111328125,32768.0
2,32,0.878985595703125,0.0621856689453125,42.86064384446605,1.1069610595703125,1.9373016357421875,32768.0
4,2,0.98494873046875,0.9443572998046875,26.19381131578809,1.473028564453125,1.995819091796875,32768.0
4,4,0.9816741943359375,0.69451904296875,33.068280465528595,2.007342529296875,2.9990966796875,32768.0
4,8,0.9553680419921875,0.4225372314453125,27.752626003833672,2.528057861328125,3.499169921875,32768.0
4,16,0.92822265625,0.23165283203125,24.23155433813167,2.841998291015625,3.7509033203125,32768.0
4,32,0.9094818115234375,0.122271728515625,22.27473198786324,3.011651611328125,3.8747406005859375,32768.0
8,2,0.9995147705078125,0.9975494384765625,19.81628861013599,3.2072906494140625,3.9999481201171876,32768.0
8,4,0.9923065185546875,0.914599609375,21.352586710703015,4.718505859375,5.99957275390625,32768.0
8,8,0.9730926513671875,0.6780609130859375,17.937223431727265,5.74647216796875,7.002536010742188,32768.0
8,16,0.9748443603515625,0.421807861328125,16.862824286474172,6.235714721679687,7.500515747070312,32768.0
8,32,0.959295654296875,0.2364776611328125,13.522428686873269,6.701580810546875,7.749502563476563,32768.0
