batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
16,1,128,128,13.201180387997738,155.13764222644838,5.125911712646484,5.07220458984375,5.072380065917969,5.125911712646484
16,2,128,128,18.126992269997572,112.98068479842047,5.221418857574463,5.197910785675049,5.199004650115967,5.221874237060547
16,1,128,256,28.3748831649973,144.35301728582078,5.290828704833984,5.2390899658203125,5.239265441894531,5.290828704833984
16,2,128,256,34.520334303997515,118.65470258570689,5.371382236480713,5.3667378425598145,5.364720821380615,5.371837615966797
16,1,128,512,59.66953510299936,137.2894892822488,5.491512298583984,5.4436798095703125,5.443855285644531,5.491512298583984
16,2,128,512,69.65455566299715,117.60896214218285,5.413008213043213,5.443214416503906,5.442956447601318,5.413463592529297
16,1,128,1024,135.475434852,120.93705414489854,5.641307830810547,5.60125732421875,5.601432800292969,5.641307830810547
16,2,128,1024,144.03084360600042,113.75341273997392,5.499189853668213,5.600270748138428,5.600539684295654,5.499645233154297
16,1,256,128,14.687238017999334,139.44078508771756,5.542797088623047,5.49102783203125,5.491203308105469,5.542797088623047
16,2,256,128,17.534120902000723,116.80083714754778,5.496382713317871,5.490958213806152,5.4915313720703125,5.496837615966797
16,1,256,256,30.281415767,135.2644814072309,5.579303741455078,5.52947998046875,5.529655456542969,5.579280853271484
16,2,256,256,35.10040674799893,116.69380441676826,5.516462802886963,5.525598049163818,5.529151916503906,5.516918182373047
16,1,256,512,66.59324837500026,123.01547378901185,5.653743743896484,5.6078643798828125,5.608039855957031,5.653743743896484
16,2,256,512,69.18260029000157,118.41127632758155,5.560989856719971,5.608574390411377,5.608792781829834,5.561442852020264
16,1,256,1024,143.64095585999894,114.06217608276587,5.803264617919922,5.7651519775390625,5.765327453613281,5.803264617919922
16,2,256,1024,145.0650945069974,112.94240048359597,5.645735263824463,5.7645792961120605,5.764657497406006,5.646190643310547
16,1,512,128,17.84589434800182,114.76028940120402,5.969387054443359,5.919586181640625,5.919761657714844,5.969387054443359
16,2,512,128,16.822401305000312,121.74242920903627,5.78843879699707,5.8188796043396,5.819377422332764,5.836483001708984
16,1,512,256,35.07103996399928,116.79151813589156,5.969387054443359,5.919586181640625,5.919761657714844,5.969387054443359
16,2,512,256,36.2879216450001,112.87502326726293,5.811026096343994,5.858078479766846,5.858900547027588,5.836483001708984
16,1,512,512,74.2670151580005,110.3046888658687,5.978221893310547,5.93621826171875,5.936393737792969,5.978221893310547
16,2,512,512,73.68691383300211,111.1730641693811,5.852644443511963,5.936086177825928,5.93555212020874,5.853099822998047
16,1,512,1024,157.4008918439995,104.09089686885785,6.127147674560547,6.09295654296875,6.093132019042969,6.127147674560547
16,2,512,1024,164.06027855699904,99.8657331567784,5.938826084136963,6.0924296379089355,6.092684268951416,5.939281463623047
16,1,1024,128,20.48098648999985,99.99518338630645,7.886562347412109,7.844573974609375,7.844749450683594,7.886562347412109
16,2,1024,128,20.49672848800037,99.91838459483832,6.589839935302734,6.934173107147217,6.9343485832214355,7.058254241943359
16,1,1024,256,42.425880172997495,96.54484440388705,7.886562347412109,7.844573974609375,7.844749450683594,7.886562347412109
16,2,1024,256,40.80270013700282,100.38551336668655,6.589839935302734,7.496795177459717,6.696189880371094,7.058254241943359
16,1,1024,512,85.12047162899943,96.24006826119479,7.886562347412109,7.844573974609375,7.844749450683594,7.886562347412109
16,2,1024,512,98.77249984700029,82.93806487321369,6.589839935302734,6.934173107147217,6.633689880371094,7.058254241943359
16,1,1024,1024,178.75221578899982,91.65760506901783,7.886562347412109,7.844573974609375,7.844749450683594,7.886562347412109
16,2,1024,1024,215.11079532899748,76.16540106665393,6.589839935302734,6.748463153839111,6.749422550201416,7.058254241943359
32,1,128,128,18.051371970996115,226.90796060162143,5.580516815185547,5.5306854248046875,5.530860900878906,5.580516815185547
32,2,128,128,20.89023684699896,196.0724538452718,5.517576694488525,5.527827739715576,5.5308003425598145,5.518489837646484
32,1,128,256,37.90434449500026,216.12298297575254,5.654979705810547,5.6091156005859375,5.609291076660156,5.654979705810547
32,2,128,256,42.495602590001,192.77288709226437,5.563109397888184,5.6092448234558105,5.599528789520264,5.564998626708984
32,1,128,512,84.03755170400109,194.96046312377214,5.804409027099609,5.766204833984375,5.766380310058594,5.804409027099609
32,2,128,512,90.04525364199982,181.95295517895025,5.646849155426025,5.765182971954346,5.765903949737549,5.647762298583984
32,1,128,1024,184.36132092700063,177.73793242116525,6.101741790771484,6.079254150390625,6.079429626464844,6.101741790771484
32,2,128,1024,218.0798934680006,150.25685990078736,5.820082187652588,6.068619251251221,6.0789875984191895,5.820995330810547
32,1,256,128,20.452172296001667,200.2721246779617,5.904979705810547,5.8591156005859375,5.859291076660156,5.904979705810547
32,2,256,128,22.39723739299734,182.87969753272537,5.812147617340088,5.86038064956665,5.860229969024658,5.813060760498047
32,1,256,256,43.31203929900221,189.13909694824093,5.979427337646484,5.937408447265625,5.937583923339844,5.979427337646484
32,2,256,256,44.369602235001366,184.6309091664037,5.853765964508057,5.936935901641846,5.936741352081299,5.854679107666016
32,1,256,512,90.30829853999967,181.42297291475535,6.128353118896484,6.094146728515625,6.094322204589844,6.128353118896484
32,2,256,512,100.73246094200296,162.64866207759127,5.939939975738525,6.0932135581970215,6.0605340003967285,5.940853118896484
32,1,256,1024,186.4136674409997,175.78110258664987,6.172298431396484,6.153717041015625,6.153717041015625,6.172298431396484
32,2,256,1024,235.64812603700057,139.05478711447464,5.985975742340088,6.279434680938721,6.281203746795654,5.986888885498047
32,1,512,128,23.331755319999047,175.55472975876242,6.631679534912109,6.589691162109375,6.589691162109375,6.631679534912109
32,2,512,128,26.29554502999963,155.7678304567189,6.396849155426025,6.515533924102783,6.515533924102783,6.492824554443359
32,1,512,256,48.24495796899873,169.8001272021839,6.758632659912109,6.716644287109375,6.716644287109375,6.758632659912109
32,2,512,256,59.089468893999765,138.63722509836023,6.439939975738525,6.593691349029541,6.594131946563721,6.492824554443359
32,1,512,512,99.57532238799924,164.53875927369924,6.777278900146484,6.750885009765625,6.750885009765625,6.777278900146484
32,2,512,512,123.98690023399968,132.14299227643068,6.526136875152588,6.750114917755127,6.749645709991455,6.527050018310547
32,1,512,1024,209.78340062499865,156.1992030941233,7.075862884521484,7.065093994140625,7.065093994140625,7.075862884521484
32,2,512,1024,266.33239832399977,123.0342241732714,6.698500156402588,7.064152240753174,7.064346790313721,6.699413299560547
32,1,1024,128,29.821891795999363,137.34876472690718,10.59005355834961,10.563690185546877,10.563690185546877,10.59005355834961
32,2,1024,128,35.421247748000496,115.6368072954521,7.996608734130859,9.864227294921877,9.864227294921877,8.93343734741211
32,1,1024,256,56.22165608399973,145.70897712014184,10.59005355834961,10.563690185546877,10.563690185546877,10.59005355834961
32,2,1024,256,69.46155813900077,117.9357362471893,7.996608734130859,8.739950180053711,7.970245361328125,8.934358596801758
32,1,1024,512,119.2166471999999,137.43047120352176,10.59005355834961,10.563690185546877,10.563690185546877,10.59005355834961
32,2,1024,512,142.58987296100076,114.90297073538405,7.996608734130859,9.864227294921877,10.520721435546877,8.93343734741211
32,1,1024,1024,248.087435509,132.0824649292296,10.59005355834961,10.563690185546877,10.563690185546877,10.59005355834961
32,2,1024,1024,294.3260760160001,111.33230342193218,7.996608734130859,9.864227294921877,10.520721435546877,8.93343734741211
