batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
16,1,128,128,13.260683229999813,154.44151439850273,5.125911712646484,5.07220458984375,5.072380065917969,5.125911712646484
16,2,128,128,21.703620708999555,94.36213558370852,5.094921112060547,5.0412139892578125,5.041389465332031,5.094921112060547
16,1,128,256,27.806968688999405,147.30120516949412,5.163143157958984,5.1114044189453125,5.111579895019531,5.163143157958984
16,2,128,256,42.19999780099988,97.06161643219208,5.116466522216797,5.0647125244140625,5.064888000488281,5.116466522216797
16,1,128,512,61.98132198999974,132.16884921108527,5.237621307373047,5.18975830078125,5.189933776855469,5.237621307373047
16,2,128,512,84.8913811579996,96.4997846454291,5.159557342529297,5.1117095947265625,5.111885070800781,5.159557342529297
16,1,128,1024,136.12811761399917,120.35720677823507,5.387386322021484,5.3473663330078125,5.347541809082031,5.387386322021484
16,2,128,1024,173.8315137539994,94.25218503927944,5.499645233154297,5.2057037353515625,5.205879211425781,5.245746612548828
16,1,256,128,14.645541412000966,139.83778013981862,5.542797088623047,5.2364044189453125,5.236579895019531,5.288143157958984
16,2,256,128,21.68918934499925,94.42492144005352,5.496837615966797,5.1897125244140625,5.189888000488281,5.241466522216797
16,1,256,256,29.675040883999827,138.02845347412745,5.579303741455078,5.27557373046875,5.275749206542969,5.325389862060547
16,2,256,256,42.08366119799939,97.32993478701229,5.516918182373047,5.2132110595703125,5.213386535644531,5.263011932373047
16,1,256,512,62.735137858999224,130.58072843343365,5.653743743896484,5.3539581298828125,5.354133605957031,5.399837493896484
16,2,256,512,86.26573327200094,94.96238760493858,5.561481475830078,5.260215759277344,5.2603912353515625,5.306102752685547
16,1,256,1024,137.91719172599915,118.79592235716476,5.802684783935547,5.5113067626953125,5.511482238769531,5.549373626708984
16,2,256,1024,179.1049164039996,91.47710922152066,5.646190643310547,5.3542022705078125,5.354377746582031,5.392292022705078
16,1,512,128,16.20111630500105,126.41104239019703,5.969387054443359,5.665679931640625,5.665855407714844,5.715480804443359
16,2,512,128,22.166637483999693,92.39109907753424,5.836483001708984,5.53277587890625,5.532951354980469,5.582576751708984
16,1,512,256,34.11577860899888,120.06174758443234,5.969387054443359,5.665679931640625,5.665855407714844,5.715480804443359
16,2,512,256,43.73450231199877,93.65603318815505,5.836483001708984,5.53277587890625,5.532951354980469,5.582576751708984
16,1,512,512,69.9626413499991,117.09106234309013,5.978221893310547,5.6823272705078125,5.682502746582031,5.724300384521484
16,2,512,512,90.56090665399914,90.45845832019664,5.853099822998047,5.5572052001953125,5.557380676269531,5.599201202392578
16,1,512,1024,149.32588576499984,109.71975767004095,6.127147674560547,5.83905029296875,5.839225769042969,5.873241424560547
16,2,512,1024,184.45382530500046,88.824398046007,5.939281463623047,5.6511993408203125,5.651374816894531,5.685382843017578
16,1,1024,128,22.41751616199963,91.35713275280715,7.886562347412109,7.590667724609375,7.590843200683594,7.632656097412109
16,2,1024,128,25.16897738100033,81.37001233693361,7.058254241943359,6.762359619140625,6.762535095214844,6.804347991943359
16,1,1024,256,38.78024952599935,105.62077475169231,7.886562347412109,7.590667724609375,7.590843200683594,7.632656097412109
