batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
16,1,128,128,14.485473621001006,141.3830195397142,5.125911712646484,5.07220458984375,5.072380065917969,5.125911712646484
16,2,128,128,19.58506958599935,104.56945230687566,5.221421718597412,5.1990132331848145,5.198271751403809,5.221874237060547
16,1,128,256,30.186023366000995,135.69193763407043,5.417781829833984,5.3660430908203125,5.366218566894531,5.417781829833984
16,2,128,256,38.97627622999937,105.08956719799156,5.498337745666504,5.494247913360596,5.492638111114502,5.499515533447266
16,1,128,512,63.404127883001024,129.20294424862388,5.745619773864746,5.698274612426758,5.697761535644531,5.745619773864746
16,2,128,512,75.58006959399938,108.38836275232005,5.666916847229004,5.697621822357178,5.69692850112915,5.667369842529297
16,1,128,1024,150.69099191300097,108.7258089684554,6.022151947021484,5.982820510864258,5.982307434082031,6.022151947021484
16,2,128,1024,164.2978507489995,99.72132882632836,5.880059719085693,5.981943607330322,5.9807448387146,5.880512237548828
16,1,256,128,16.692928397998916,122.68668211896879,6.051342010498047,6.000261306762695,5.999748229980469,6.051342010498047
16,2,256,128,19.62070074999974,104.3795543337068,6.005662441253662,6.000029563903809,6.000983715057373,6.006114959716797
16,1,256,256,34.06147919899922,120.25314508714426,6.087116241455078,6.037988662719727,6.0374755859375,6.087116241455078
16,2,256,256,40.088161493999905,102.17480291813978,6.024278163909912,6.036372661590576,6.037224292755127,6.024730682373047
16,1,256,512,73.17739238999866,111.94714285992544,6.161556243896484,6.116365432739258,6.115852355957031,6.161556243896484
16,2,256,512,80.40754682399938,101.88098410626948,6.070306777954102,6.119256496429443,6.118678569793701,6.070758819580078
16,1,256,1024,159.77719638399867,102.54279315693901,6.310497283935547,6.273088455200195,6.272575378417969,6.310497283935547
16,2,256,1024,170.85713357700024,95.89298179707679,6.15355110168457,6.272902011871338,6.272518634796143,6.154003143310547
16,1,512,128,19.61826029200074,104.39253886518485,6.477199554443359,6.42808723449707,6.427574157714844,6.477199554443359
16,2,512,128,21.069229798999913,97.20336336628745,6.296792984008789,6.38603401184082,6.3464579582214355,6.344295501708984
16,1,512,256,39.716938232000764,103.12980260648006,6.477199554443359,6.42808723449707,6.427574157714844,6.477199554443359
16,2,512,256,42.2591675929998,96.92571418937507,6.320306301116943,6.369110584259033,6.368710994720459,6.344295501708984
16,1,512,512,81.16192972699992,100.934021992269,6.486034393310547,6.444719314575195,6.444206237792969,6.486034393310547
16,2,512,512,83.93234015800044,97.6024257703142,6.360459327697754,6.444633960723877,6.443793773651123,6.360912322998047
16,1,512,1024,172.48954148100077,94.98546902801438,6.634960174560547,6.601457595825195,6.601036071777344,6.635189056396484
16,2,512,1024,191.3819410849992,85.60891329199818,6.446641445159912,6.601356029510498,6.600780010223389,6.447093963623047
16,1,1024,128,22.68985650299965,90.26059727302594,8.39437484741211,8.35307502746582,8.352561950683594,8.39437484741211
16,2,1024,128,23.805749537000338,86.02963737045432,7.098331928253174,8.33342170715332,7.4421610832214355,7.566066741943359
16,1,1024,256,44.67320468500111,91.68807182922383,8.39437484741211,8.35307502746582,8.352561950683594,8.39437484741211
16,2,1024,256,51.964674328999536,78.82277822174623,7.098331928253174,7.427049160003662,7.8796610832214355,7.566066741943359
16,1,1024,512,92.0896921170006,88.95675304888637,8.39437484741211,8.35307502746582,8.352561950683594,8.39437484741211
16,2,1024,512,114.0298041650003,71.8408670433761,7.098331928253174,8.00529670715332,7.20888614654541,7.566066741943359
16,1,1024,1024,192.9913272899994,84.89500657913244,8.39437484741211,8.35307502746582,8.352561950683594,8.39437484741211
16,2,1024,1024,219.4421495280003,74.66204662705165,7.098331928253174,7.2575907707214355,7.4265360832214355,7.566066741943359
32,1,128,128,19.05822661000093,214.92031151789314,6.088329315185547,6.039216995239258,6.038703918457031,6.088329315185547
32,2,128,128,22.92150290400241,178.69683402325168,6.025392055511475,6.038468837738037,6.037497043609619,6.026302337646484
32,1,128,256,39.77312306600106,205.96823604739004,6.162792205810547,6.117616653442383,6.117103576660156,6.162792205810547
32,2,128,256,45.843025109001246,178.69675878766355,6.071411609649658,6.120026111602783,6.119812488555908,6.072338104248047
32,1,128,512,84.84190962400135,193.112107832201,6.311702728271484,6.27427864074707,6.273765563964844,6.311702728271484
32,2,128,512,98.14303740800096,166.9400136036988,6.154666900634766,6.274067401885986,6.2731709480285645,6.155574798583984
32,1,128,1024,188.9509326210009,173.42068411869806,6.609554290771484,6.58775520324707,6.587242126464844,6.609554290771484
32,2,128,1024,236.3823655899996,138.62286181210078,5.566163539886475,5.825088977813721,5.816019535064697,5.567618370056152
32,1,256,128,20.685117347000414,198.01676399935764,5.651073455810547,5.6052093505859375,5.6052093505859375,5.651073455810547
32,2,256,128,25.079472659999738,163.32081840512043,5.6849541664123535,5.731894016265869,5.731629848480225,5.685359954833984
32,1,256,256,45.4875492150004,180.09323741052484,5.852443695068359,5.81048583984375,5.81048583984375,5.852443695068359
32,2,256,256,52.16024525099965,157.0544762697986,5.853761672973633,5.936489582061768,5.937393665313721,5.854671478271484
32,1,256,512,97.01776946700011,168.87627998469804,6.128353118896484,6.094146728515625,6.094146728515625,6.128353118896484
32,2,256,512,114.06925907300136,143.63203665165096,5.939943313598633,6.094006061553955,6.093124866485596,5.940853118896484
32,1,256,1024,208.16234926900142,157.41559467920388,6.426204681396484,6.407623291015625,6.407623291015625,6.426204681396484
32,2,256,1024,257.5309170979999,127.2390917923481,6.112863540649414,6.396042346954346,6.397781848907471,6.113773345947266
32,1,512,128,24.554217711000092,166.81451831247,6.758632659912109,6.716644287109375,6.716644287109375,6.758632659912109
32,2,512,128,27.40882254999815,149.4409324781548,6.396852016448975,6.515598773956299,6.553435802459717,6.492824554443359
32,1,512,256,49.79598897999858,164.51124212615716,6.758632659912109,6.716644287109375,6.716644287109375,6.758632659912109
32,2,512,256,61.48616864699943,133.23321618934173,6.439942836761475,6.594131946563721,6.594069004058838,6.492824554443359
32,1,512,512,103.39132964199779,158.4658989949268,6.777278900146484,6.750885009765625,6.750885009765625,6.777278900146484
32,2,512,512,131.98234478799714,124.1378157534447,6.5261359214782715,6.75017786026001,6.749769687652588,6.527050018310547
32,1,512,1024,224.66635119799867,145.85183684726127,7.075862884521484,7.065155029296875,7.065093994140625,7.075862884521484
32,2,512,1024,284.19632866100073,115.30057462173204,6.6984992027282715,7.062693119049072,7.064119815826416,6.699413299560547
32,1,1024,128,28.543623686999126,143.49964969113648,10.59005355834961,10.563690185546877,10.563690185546877,10.59005355834961
