name,time,memory_gpu_0,max_memory_gpu_0,memory_gpu_1,max_memory_gpu_1
start,0.0,2.6504979133605957,2.6505002975463867,2.6348729133605957,2.6348752975463867
START forward,0.013826050999341533,2.650498867034912,2.650501251220703,2.634873867034912,2.634876251220703
START compute,0.01564056799907121,2.6504998207092285,2.6505022048950195,2.6348748207092285,2.6348772048950195
START inner strategy,3.3376475349996326,2.9163107872009277,3.6663107872009277,2.8927512168884277,2.8927536010742188
END inner strategy,3.59214336200057,2.916311740875244,2.916314125061035,2.892752170562744,2.892754554748535
END compute,7.064515682999627,4.193593502044678,4.256093502044678,4.177968502044678,4.240468502044678
START final strategy,7.065742823999244,4.193594455718994,4.193596839904785,4.177969455718994,4.177971839904785
END final strategy,9.160649680999995,4.1935954093933105,4.193597793579102,4.1779704093933105,4.177972793579102
END forward,9.162697189000028,4.193596363067627,4.193598747253418,4.177971363067627,4.177973747253418
