name,time,memory_gpu_0,max_memory_gpu_0,memory_gpu_1,max_memory_gpu_1
START inner strategy,2.7126948700006324,3.177293300628662,3.200730800628662,3.153733730316162,3.153736114501953
END inner strategy,2.7171582440005295,3.1772942543029785,3.1772966384887695,3.1537346839904785,3.1537370681762695
END compute,2.8058030619995407,3.2180628776550293,3.2200160026550293,3.2024378776550293,3.2043910026550293
START final strategy,2.80702487400049,3.2180638313293457,3.2180662155151367,3.2024388313293457,3.2024412155151367
END final strategy,2.8734430389995396,3.218064785003662,3.218067169189453,3.202439785003662,3.202442169189453
START compute,2.875099905000752,3.2180657386779785,3.2180681228637695,3.2024407386779785,3.2024431228637695
START inner strategy,2.9576670629994624,3.2340617179870605,3.2574992179870605,3.2105021476745605,3.2105045318603516
END inner strategy,2.962099763999504,3.234062671661377,3.234065055847168,3.210503101348877,3.210505485534668
END compute,3.0534312479994696,3.2748312950134277,3.2767844200134277,3.2592062950134277,3.2611594200134277
START final strategy,3.054662245000145,3.274832248687744,3.274834632873535,3.259207248687744,3.259209632873535
END final strategy,3.121141133000492,3.2748332023620605,3.2748355865478516,3.2592082023620605,3.2592105865478516
START compute,3.122818832000121,3.274834156036377,3.274836540222168,3.259209156036377,3.259211540222168
START inner strategy,3.2058132870006375,3.290830135345459,3.314267635345459,3.267270565032959,3.26727294921875
END inner strategy,3.210267897000449,3.2908310890197754,3.2908334732055664,3.2672715187072754,3.2672739028930664
END compute,3.302829456000836,3.331599712371826,3.333552837371826,3.315974712371826,3.317927837371826
START final strategy,3.3040541779992054,3.3316006660461426,3.3316030502319336,3.3159756660461426,3.3159780502319336
END final strategy,3.3704718230001163,3.331601619720459,3.33160400390625,3.315976619720459,3.31597900390625
START compute,3.3722375470006227,3.3316025733947754,3.3316049575805664,3.3159775733947754,3.3159799575805664
START inner strategy,3.454149519000566,3.3475985527038574,3.3710360527038574,3.3240389823913574,3.3240413665771484
END inner strategy,3.4585788789991057,3.347599506378174,3.347601890563965,3.324039936065674,3.324042320251465
END compute,3.5475164759991458,3.3883681297302246,3.3903212547302246,3.3727431297302246,3.3746962547302246
START final strategy,3.5489618989995506,3.388369083404541,3.388371467590332,3.372744083404541,3.372746467590332
END final strategy,3.6154174219991546,3.3883700370788574,3.3883724212646484,3.3727450370788574,3.3727474212646484
START compute,3.617086852000284,3.388370990753174,3.388373374938965,3.372745990753174,3.372748374938965
START inner strategy,3.6990557410008478,3.404366970062256,3.427804470062256,3.380807399749756,3.380809783935547
END inner strategy,3.7034875999997894,3.4043679237365723,3.4043703079223633,3.3808083534240723,3.3808107376098633
END compute,3.7920114129992726,3.445136547088623,3.447089672088623,3.429511547088623,3.431464672088623
START final strategy,3.7932347419991856,3.4451375007629395,3.4451398849487305,3.4295125007629395,3.4295148849487305
END final strategy,3.85974919399996,3.445138454437256,3.445140838623047,3.429513454437256,3.429515838623047
START compute,3.8635470280005393,3.4451394081115723,3.4451417922973633,3.4295144081115723,3.4295167922973633
START inner strategy,3.945519336999496,3.4611353874206543,3.4845728874206543,3.4375758171081543,3.4375782012939453
END inner strategy,3.9499708179992012,3.4611363410949707,3.4611387252807617,3.4375767707824707,3.4375791549682617
END compute,4.0386837770001875,3.5019049644470215,3.5038580894470215,3.4862799644470215,3.4882330894470215
START final strategy,4.041565170000467,3.501905918121338,3.501908302307129,3.486280918121338,3.486283302307129
END final strategy,4.108099552999192,3.5019068717956543,3.5019092559814453,3.4862818717956543,3.4862842559814453
START compute,4.109770283999751,3.5019078254699707,3.5019102096557617,3.4862828254699707,3.4862852096557617
START inner strategy,4.192063055999824,3.5179038047790527,3.5413413047790527,3.4943442344665527,3.4943466186523438
END inner strategy,4.197445190000508,3.517904758453369,3.51790714263916,3.494345188140869,3.49434757232666
END compute,4.285718437000469,3.55867338180542,3.56062650680542,3.54304838180542,3.54500150680542
START final strategy,4.288096973999927,3.5586743354797363,3.5586767196655273,3.5430493354797363,3.5430517196655273
END final strategy,4.355583451000712,3.5586752891540527,3.5586776733398438,3.5430502891540527,3.5430526733398438
START compute,4.357321895000496,3.558676242828369,3.55867862701416,3.543051242828369,3.54305362701416
START inner strategy,4.440743658000429,3.574672222137451,3.598109722137451,3.551112651824951,3.551115036010742
END inner strategy,4.445207320999543,3.5746731758117676,3.5746755599975586,3.5511136054992676,3.5511159896850586
END compute,4.533691935999741,3.6154417991638184,3.6173949241638184,3.5998167991638184,3.6017699241638184
START final strategy,4.534916016000352,3.6154427528381348,3.615445137023926,3.5998177528381348,3.599820137023926
END final strategy,4.60133752100046,3.615443706512451,3.615446090698242,3.599818706512451,3.599821090698242
START compute,4.603042763999838,3.6154446601867676,3.6154470443725586,3.5998196601867676,3.5998220443725586
START inner strategy,4.684378034000474,3.6314406394958496,3.6548781394958496,3.6078810691833496,3.6078834533691406
END inner strategy,4.688821616000496,3.631441593170166,3.631443977355957,3.607882022857666,3.607884407043457
END compute,4.776580510000713,3.672210216522217,3.674163341522217,3.656585216522217,3.658538341522217
START final strategy,4.778341196000838,3.672211170196533,3.672213554382324,3.656586170196533,3.656588554382324
END final strategy,4.844877240999267,3.6722121238708496,3.6722145080566406,3.6565871238708496,3.6565895080566406
START compute,4.847695210000893,3.672213077545166,3.672215461730957,3.656588077545166,3.656590461730957
START inner strategy,4.930154417999802,3.688209056854248,3.711646556854248,3.664649486541748,3.664651870727539
END inner strategy,4.935264776999247,3.6882100105285645,3.6882123947143555,3.6646504402160645,3.6646528244018555
END compute,5.024293159000081,3.7289786338806152,3.7309317588806152,3.7133536338806152,3.7153067588806152
START final strategy,5.02552753999953,3.7289795875549316,3.7289819717407227,3.7133545875549316,3.7133569717407227
END final strategy,5.094190588999481,3.728980541229248,3.728982925415039,3.713355541229248,3.713357925415039
START compute,5.095897622999473,3.7289814949035645,3.7289838790893555,3.7133564949035645,3.7133588790893555
START inner strategy,5.177322244999232,3.7449774742126465,3.7684149742126465,3.7214179039001465,3.7214202880859375
END inner strategy,5.181751391999569,3.744978427886963,3.744980812072754,3.721418857574463,3.721421241760254
END compute,5.26988341499964,3.7857470512390137,3.7877001762390137,3.7701220512390137,3.7720751762390137
START final strategy,5.271084972000608,3.78574800491333,3.785750389099121,3.77012300491333,3.770125389099121
END final strategy,5.3375934600007895,3.7857489585876465,3.7857513427734375,3.7701239585876465,3.7701263427734375
START compute,5.3393667729997105,3.785749912261963,3.785752296447754,3.770124912261963,3.770127296447754
START inner strategy,5.421662885999467,3.801745891571045,3.825183391571045,3.778186321258545,3.778188705444336
END inner strategy,5.426108420999299,3.8017468452453613,3.8017492294311523,3.7781872749328613,3.7781896591186523
END compute,5.513933120000729,3.842515468597412,3.844468593597412,3.826890468597412,3.828843593597412
START final strategy,5.5165006930001255,3.8425164222717285,3.8425188064575195,3.8268914222717285,3.8268938064575195
END final strategy,5.582927642999493,3.842517375946045,3.842519760131836,3.826892375946045,3.826894760131836
START compute,5.584624667999378,3.8425183296203613,3.8425207138061523,3.8268933296203613,3.8268957138061523
START inner strategy,5.666515176999383,3.8585143089294434,3.8819518089294434,3.8349547386169434,3.8349571228027344
END inner strategy,5.672274652000851,3.8585152626037598,3.858517646789551,3.8349556922912598,3.834958076477051
END compute,5.7602701380001236,3.8992838859558105,3.9012370109558105,3.8836588859558105,3.8856120109558105
START final strategy,5.761484030999782,3.899284839630127,3.899287223815918,3.883659839630127,3.883662223815918
END final strategy,5.828004052000324,3.8992857933044434,3.8992881774902344,3.8836607933044434,3.8836631774902344
START compute,5.829676453999127,3.8992867469787598,3.899289131164551,3.8836617469787598,3.883664131164551
START inner strategy,5.916932980000638,3.915282726287842,3.938720226287842,3.891723155975342,3.891725540161133
END inner strategy,5.921365038000658,3.915283679962158,3.915286064147949,3.891724109649658,3.891726493835449
END compute,6.0094941280003695,3.956052303314209,3.958005428314209,3.940427303314209,3.942380428314209
START final strategy,6.010715206999521,3.9560532569885254,3.9560556411743164,3.9404282569885254,3.9404306411743164
END final strategy,6.077132551999966,3.956054210662842,3.956056594848633,3.940429210662842,3.940431594848633
START compute,6.079363329999978,3.956055164337158,3.956057548522949,3.940430164337158,3.940432548522949
START inner strategy,6.161492682000244,3.9720511436462402,3.9954886436462402,3.9484915733337402,3.9484939575195312
END inner strategy,6.167184583000562,3.9720520973205566,3.9720544815063477,3.9484925270080566,3.9484949111938477
END compute,6.25513524499911,4.012820720672607,4.014773845672607,3.9971957206726074,3.9991488456726074
START final strategy,6.256378706999385,4.012821674346924,4.012824058532715,3.997196674346924,3.997199058532715
END final strategy,6.323040459999902,4.01282262802124,4.012825012207031,3.9971976280212402,3.9972000122070312
START compute,6.325879538000663,4.012823581695557,4.012825965881348,3.9971985816955566,3.9972009658813477
START inner strategy,6.407935339999312,4.028819561004639,4.052257061004639,4.005259990692139,4.00526237487793
END inner strategy,6.412410998000269,4.028820514678955,4.028822898864746,4.005260944366455,4.005263328552246
END compute,6.500450338999144,4.069589138031006,4.071542263031006,4.053964138031006,4.055917263031006
START final strategy,6.501678205999269,4.069590091705322,4.069592475891113,4.053965091705322,4.053967475891113
END final strategy,6.568730422999579,4.069591045379639,4.06959342956543,4.053966045379639,4.05396842956543
START compute,6.57044801200027,4.069591999053955,4.069594383239746,4.053966999053955,4.053969383239746
START inner strategy,6.651806797999598,4.085587978363037,4.109025478363037,4.062028408050537,4.062030792236328
END inner strategy,6.656254584000635,4.0855889320373535,4.0855913162231445,4.0620293617248535,4.0620317459106445
END compute,6.74442093899961,4.126357555389404,4.128310680389404,4.110732555389404,4.112685680389404
START final strategy,6.7468764950008335,4.126358509063721,4.126360893249512,4.110733509063721,4.110735893249512
END final strategy,6.813343712999995,4.126359462738037,4.126361846923828,4.110734462738037,4.110736846923828
START compute,6.8150228100003005,4.1263604164123535,4.1263628005981445,4.1107354164123535,4.1107378005981445
START inner strategy,6.895950445999915,4.1423563957214355,4.1657938957214355,4.1187968254089355,4.118799209594727
END inner strategy,6.900390171000254,4.142357349395752,4.142359733581543,4.118797779083252,4.118800163269043
END compute,6.990708322999126,4.183125972747803,4.185079097747803,4.167500972747803,4.169454097747803
START final strategy,6.995911922000232,4.183126926422119,4.18312931060791,4.167501926422119,4.16750431060791
END final strategy,7.062367776999963,4.1831278800964355,4.183130264282227,4.1675028800964355,4.167505264282227
START compute,7.064057158000651,4.183128833770752,4.183131217956543,4.167503833770752,4.167506217956543
START inner strategy,7.14751040199917,4.199124813079834,4.222562313079834,4.175565242767334,4.175567626953125
END inner strategy,7.151969923999786,4.19912576675415,4.199128150939941,4.17556619644165,4.175568580627441
END compute,7.240342037999653,4.239894390106201,4.241847515106201,4.224269390106201,4.226222515106201
START final strategy,7.241646787000718,4.239895343780518,4.239897727966309,4.224270343780518,4.224272727966309
END final strategy,7.308071921999726,4.239896297454834,4.239898681640625,4.224271297454834,4.224273681640625
START compute,7.309845493000466,4.23989725112915,4.239899635314941,4.22427225112915,4.224274635314941
START inner strategy,7.391456606999782,4.255893230438232,4.279330730438232,4.232333660125732,4.232336044311523
END inner strategy,7.3959616310003184,4.255894184112549,4.25589656829834,4.232334613800049,4.23233699798584
END compute,7.484760508999898,4.2966628074646,4.2986159324646,4.2810378074646,4.2829909324646
START final strategy,7.485989677999896,4.296663761138916,4.296666145324707,4.281038761138916,4.281041145324707
END final strategy,7.552719998999237,4.296664714813232,4.296667098999023,4.281039714813232,4.281042098999023
START compute,7.554354616999262,4.296665668487549,4.29666805267334,4.281040668487549,4.28104305267334
START inner strategy,7.6363055469992105,4.312661647796631,4.336099147796631,4.289102077484131,4.289104461669922
END inner strategy,7.641881577999811,4.312662601470947,4.312664985656738,4.289103031158447,4.289105415344238
END compute,7.72979458699956,4.353431224822998,4.355384349822998,4.337806224822998,4.339759349822998
START final strategy,7.731033264999496,4.3534321784973145,4.3534345626831055,4.3378071784973145,4.3378095626831055
END final strategy,7.7974976360001165,4.353433132171631,4.353435516357422,4.337808132171631,4.337810516357422
START compute,7.799220074000914,4.353434085845947,4.353436470031738,4.337809085845947,4.337811470031738
START inner strategy,7.880985162999423,4.369430065155029,4.392867565155029,4.345870494842529,4.34587287902832
END inner strategy,7.885987056000886,4.369431018829346,4.369433403015137,4.345871448516846,4.345873832702637
END compute,7.9774921360003646,4.4101996421813965,4.4121527671813965,4.3945746421813965,4.3965277671813965
START final strategy,7.97881464800048,4.410200595855713,4.410202980041504,4.394575595855713,4.394577980041504
END final strategy,8.045431208000082,4.410201549530029,4.41020393371582,4.394576549530029,4.39457893371582
START compute,8.047122436999416,4.410202503204346,4.410204887390137,4.394577503204346,4.394579887390137
START inner strategy,8.129141875999267,4.426198482513428,4.449635982513428,4.402638912200928,4.402641296386719
END inner strategy,8.133627426999738,4.426199436187744,4.426201820373535,4.402639865875244,4.402642250061035
END compute,8.223640383999737,4.466968059539795,4.468921184539795,4.451343059539795,4.453296184539795
START final strategy,8.224854436000896,4.466969013214111,4.466971397399902,4.451344013214111,4.451346397399902
END final strategy,8.292945043000145,4.466969966888428,4.466972351074219,4.451344966888428,4.451347351074219
END forward,8.294174819000546,4.466970920562744,4.466973304748535,4.451345920562744,4.451348304748535

