,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,64,64,8.93486364400087,114.60723305917978,6.8197922706604,6.320221424102783,6.320221424102783,6.762706279754639
1,16,1,64,128,17.533506325000417,116.80493120077347,7.0432868003845215,6.544457912445068,6.544457912445068,6.965795993804932
2,16,1,64,192,26.654037906000667,115.25458209498515,7.2693305015563965,6.770219326019287,6.770219326019287,7.172117710113525
3,16,1,64,256,37.191025414998876,110.13409698427171,7.49402379989624,6.994912624359131,6.994912624359131,7.377218723297119
4,16,1,128,64,10.394147506000081,98.5169778867281,7.072016716003418,6.57303524017334,6.57303524017334,6.974637031555176
5,16,1,128,128,19.57536617599908,104.6212868554667,7.269444942474365,6.770181179046631,6.770181179046631,7.172132968902588
6,16,1,128,192,29.30891758299913,104.81451562653197,7.492482662200928,6.99350118637085,6.99350118637085,7.375860691070557
7,16,1,128,256,39.667435097000634,103.25850385798476,7.7173285484313965,7.218347072601318,7.218347072601318,7.581114292144775
8,16,1,192,64,11.937503719000233,85.7800779881776,7.423770427703857,6.924788951873779,6.924788951873779,7.286548137664795
9,16,1,192,128,21.631948165000722,94.67478307448744,7.4913763999938965,6.992242336273193,6.992089748382568,7.374655246734619
10,16,1,192,192,31.91344506799942,96.2603690530543,7.718946933746338,7.219682216644287,7.219682216644287,7.582502841949463
11,16,1,192,256,42.68612896400009,95.95622979667272,7.941831111907959,7.442849636077881,7.442849636077881,7.786077976226807
12,16,1,256,64,13.617341596000188,75.19823107770013,7.775524139404297,7.276542663574219,7.276542663574219,7.599071502685547
13,16,1,256,128,23.899584254999354,85.69186719520428,7.775524139404297,7.276542663574219,7.276542663574219,7.599071502685547
14,16,1,256,192,34.64938019900001,88.65959455426736,7.940419673919678,7.4414381980896,7.4414381980896,7.784719944000244
15,16,1,256,256,45.995704364999256,89.05179421748086,8.168142318725586,7.669030666351318,7.669030666351318,7.992720127105713
16,32,1,64,64,11.45763306400113,178.7454693792416,7.270630359649658,6.76993989944458,6.76993989944458,7.174119472503662
17,32,1,64,128,22.167754694000905,184.77288550601247,7.717636585235596,7.219265460968018,7.219265460968018,7.5823073387146
18,32,1,64,192,35.29187590100082,174.09105759169253,8.169403076171875,7.670422077178955,7.670422077178955,7.994950771331787
19,32,1,64,256,48.93202644200028,167.41591541707507,8.618728637695312,8.119747161865234,8.119747161865234,8.405153274536133
20,32,1,128,64,14.626582290000442,140.0190392666186,7.7755231857299805,7.276541709899902,7.276541709899902,7.600293159484863
21,32,1,128,128,26.49919860999944,154.57071212917282,8.169082641601562,7.668880939483643,7.669796466827393,7.994370937347412
22,32,1,128,192,39.97357784000087,153.70152815922833,8.61627197265625,8.116985321044922,8.117290496826172,8.402437210083008
