,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,16,16,1.2493622940000932,102.45226754057174,5.345673084259033,5.321075916290283
1,8,1,16,32,2.1659138260001782,118.19491474079493,5.387638092041016,5.359760284423828
2,8,1,16,48,3.138657523999882,122.34530115621956,5.4315667152404785,5.4043192863464355
3,8,1,16,64,4.132198517000006,123.90498614565938,5.4726057052612305,5.440577507019043
4,8,1,16,80,5.132618313999956,124.69269305576606,5.514994144439697,5.480607509613037
5,8,1,16,96,6.16434072800007,124.58753237171663,5.557661056518555,5.5208940505981445
6,8,1,32,16,1.4049908540000615,91.10379589701898,5.3961710929870605,5.374195575714111
7,8,1,32,32,2.358601316000204,108.53890323190927,5.4310688972473145,5.402429103851318
8,8,1,32,48,3.3456908309999562,114.77450230666727,5.47175407409668,5.441189765930176
9,8,1,32,64,4.34154191900052,117.93045179622939,5.515641689300537,5.48060941696167
10,8,1,32,80,5.3581258399990475,119.44474973363332,5.5581560134887695,5.520895957946777
11,8,1,32,96,6.405357855999682,119.89962423108653,5.6029582023620605,5.564643383026123
12,8,1,48,16,1.6782249379994028,76.27106301529977,5.469755172729492,5.446039199829102
13,8,1,48,32,2.6697086919994035,95.89061187356586,5.471985816955566,5.446039199829102
14,8,1,48,48,3.6623780489990168,104.84990759076688,5.514484882354736,5.48077917098999
15,8,1,48,64,4.6574914249995345,109.93042246987093,5.557636260986328,5.52089786529541
16,8,1,48,80,5.703381691999311,112.21412743562126,5.601802349090576,5.562557697296143
17,8,1,48,96,6.77983658499943,113.27706654452713,5.649919509887695,5.609885215759277
18,8,1,64,16,2.134324642000138,59.972132393152464,5.528690814971924,5.504271984100342
19,8,1,64,32,3.1039530699999887,82.47547376739202,5.528690814971924,5.504271984100342
20,8,1,64,48,4.112821659999099,93.36655749865024,5.557623863220215,5.520899772644043
21,8,1,64,64,5.1526492569992115,99.36635980112828,5.602247714996338,5.563398838043213
22,8,1,64,80,6.202283864999117,103.18779564599807,5.652891159057617,5.612672805786133
23,8,1,64,96,7.273227015000884,105.59274424076348,5.68671178817749,5.642488956451416
24,8,1,80,16,2.2500638049987174,56.887275692198855,5.601831436157227,5.5771074295043945
25,8,1,80,32,3.2430250739998883,78.93864344510116,5.601831436157227,5.5771074295043945
26,8,1,80,48,4.281458204999581,89.68906891385562,5.601831436157227,5.5771074295043945
27,8,1,80,64,5.325227265999274,96.14613131519067,5.644715309143066,5.603745460510254
28,8,1,80,80,6.409898920001069,99.84556823555857,5.685767650604248,5.642429828643799
29,8,1,80,96,7.488515311999436,102.5570447548359,5.733364105224609,5.6862897872924805
30,8,1,96,16,2.5756586490006157,49.69602631531373,5.662797451019287,5.635935306549072
31,8,1,96,32,3.5931585220005218,71.24650872833459,5.662797451019287,5.635935306549072
32,8,1,96,48,4.641192592000152,82.73735519225947,5.662797451019287,5.635935306549072
33,8,1,96,64,5.703471361999618,89.76989056371706,5.6859049797058105,5.641870021820068
34,8,1,96,80,6.798250640000333,94.14186588448122,5.728571891784668,5.682690620422363
35,8,1,96,96,7.910811834999549,97.08232429472818,5.772993564605713,5.724014759063721
36,16,1,16,16,2.05114519900053,124.80832664832417,5.43273401260376,5.405099391937256
37,16,1,16,32,3.6804851289998624,139.1120958391513,5.5140299797058105,5.480123996734619
38,16,1,16,48,5.382473091000065,142.68533943702548,5.6040778160095215,5.565427303314209
39,16,1,16,64,7.115688060001048,143.90737640062446,5.68451452255249,5.641270160675049
40,16,1,16,80,8.891707491000489,143.9543531200862,5.770138263702393,5.721843242645264
41,16,1,16,96,10.716904630999124,143.32496675924983,5.869555950164795,5.8166680335998535
42,16,1,32,16,2.7534535949998826,92.97414725451762,5.531666278839111,5.507247447967529
43,16,1,32,32,4.4327457070012315,115.50403155121882,5.60305643081665,5.566096782684326
44,16,1,32,48,6.165828615999999,124.55746791389574,5.684504985809326,5.6412739753723145
45,16,1,32,64,7.9325888870007475,129.0877435584799,5.7701287269592285,5.721847057342529
46,16,1,32,80,9.754326210000727,131.2238254537424,5.866982936859131,5.813467502593994
47,16,1,32,96,11.579475960999844,132.6484898948201,5.945648670196533,5.887723445892334
48,16,1,48,16,3.1784918140001537,80.54134318433944,5.665772914886475,5.63891077041626
49,16,1,48,32,4.921601475001808,104.03117818470093,5.684886455535889,5.64127779006958
50,16,1,48,48,6.6949398900014785,114.71350193105772,5.773714542388916,5.724902629852295
51,16,1,48,64,8.507504891998906,120.36431515461675,5.864409923553467,5.80962610244751
52,16,1,48,80,10.324261118001232,123.97981660578213,5.943655490875244,5.8858962059021
53,16,1,48,96,12.19972477400006,125.90447968740318,6.0263800621032715,5.9635701179504395
54,16,1,64,16,3.7947356149998086,67.46188034499286,5.798475742340088,5.76917028427124
55,16,1,64,32,5.505222890000368,93.00259230738716,5.798475742340088,5.76917028427124
56,16,1,64,48,7.310335717000271,105.05673470152773,5.859273433685303,5.805784702301025
57,16,1,64,64,9.12626605100013,112.2036103569194,5.945019245147705,5.887120723724365
58,16,1,64,80,11.018509208000978,116.16816538761351,6.026370525360107,5.963573932647705
59,16,1,64,96,12.913767171001382,118.94282897164025,6.111841678619385,6.044177532196045
60,16,1,80,16,5.060967436000283,50.58321422481204,5.932399272918701,5.900650501251221
61,16,1,80,32,6.825561916999504,75.01213910679365,5.932399272918701,5.900650501251221
62,16,1,80,48,8.659681297000134,88.68686660166682,5.941805362701416,5.900650501251221
63,16,1,80,64,10.530024719999346,97.24573562065328,6.026360988616943,5.964151859283447
64,16,1,80,80,12.439038516999062,102.90184392071502,6.114426136016846,6.0473551750183105
65,16,1,80,96,14.388980539999466,106.74835480735572,6.208350658416748,6.135887622833252
