,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,16,16,0.5655537629991159,226.32684702020117,2.7196764945983887,2.7016239166259766
1,8,2,16,16,0.7449506339999061,171.82346609025925,2.7817816734313965,2.730541706085205
2,8,4,16,16,1.1647343630011164,109.89630259571668,2.9085917472839355,2.857351779937744
3,8,8,16,16,2.0555278130013903,62.27111070470026,3.155208110809326,3.1039223670959473
4,8,1,16,32,1.0319460810005694,248.0749767001235,3.19954776763916,3.146538734436035
5,8,2,16,32,1.3541132789996482,189.0536072352234,3.2258143424987793,3.1638431549072266
6,8,4,16,32,2.22994847299924,114.80085889862947,3.2234034538269043,3.167107582092285
7,8,8,16,32,3.9500467760008178,64.80935910819376,3.220395565032959,3.16703462600708
8,8,1,16,48,1.4992324800005008,256.1310571392315,3.2506842613220215,3.1957077980041504
9,8,2,16,48,2.011937344001126,190.86081440107964,3.264735698699951,3.193416118621826
10,8,4,16,48,3.279153542000131,117.10339118972084,3.2622523307800293,3.206418037414551
11,8,8,16,48,5.90414988700104,65.03899923771233,3.261779308319092,3.206343173980713
12,8,1,16,64,1.9940179990007891,256.7679931959317,3.292724609375,3.23577880859375
13,8,2,16,64,2.6535934830008046,192.94590647735802,3.2901597023010254,3.249145030975342
14,8,4,16,64,4.33510198499971,118.1056412909359,3.321094512939453,3.297060966491699
15,8,8,16,64,7.785450317000141,65.76369755799583,3.2897191047668457,3.2642064094543457
16,8,1,16,80,2.48232710999946,257.82258809562745,3.3179173469543457,3.290741443634033
17,8,2,16,80,3.3029549250004493,193.76588979636557,3.315828323364258,3.288515090942383
18,8,4,16,80,5.377919465001469,119.00512905873818,3.326038360595703,3.3019418716430664
19,8,8,16,80,9.70149534399934,65.96921168403784,3.3203282356262207,3.2928013801574707
20,8,1,16,96,3.0078421069993055,255.33255160330705,3.343637466430664,3.314493179321289
21,8,2,16,96,3.976599976000216,193.1298105504888,3.340764045715332,3.311467170715332
22,8,4,16,96,6.473615676999543,118.63540227274666,3.3439393043518066,3.3144288063049316
23,8,8,16,96,11.586174568999922,66.28589923501308,3.342163562774658,3.312622547149658
24,8,1,16,112,3.5212191059999896,254.45732657569042,3.370023250579834,3.3389105796813965
25,8,2,16,112,4.675221011000758,191.64869380329168,3.3678956031799316,3.336768627166748
26,8,4,16,112,7.763378109000769,115.41367526092645,3.3659567832946777,3.334433078765869
27,8,8,16,112,14.485047983998811,61.85688863369895,3.3638458251953125,3.3322300910949707
28,8,1,16,128,4.345245305001299,235.65988295790675,3.3971080780029297,3.3640270233154297
29,8,2,16,128,5.491487968000001,186.47040765035865,3.3920388221740723,3.3587746620178223
30,8,4,16,128,9.048073938000016,113.17325731605867,3.390040874481201,3.356929302215576
31,8,8,16,128,16.776211831000182,61.038809614205384,3.4963316917419434,3.4638142585754395
32,8,1,32,16,0.7044425690000935,181.70395378247366,3.4086155891418457,3.377014636993408
33,8,2,32,16,0.8550303279989748,149.70229219770258,3.2585625648498535,3.2390294075012207
34,8,4,32,16,1.2634544299999106,101.30955019882201,3.2580771446228027,3.238542079925537
35,8,8,32,16,2.299258192999332,55.67012890928391,3.257842540740967,3.2383036613464355
36,8,1,32,32,1.1927942100010114,214.62210149375468,3.266507625579834,3.244476795196533
37,8,2,32,32,1.5445930329988187,165.73945015340217,3.264063835144043,3.2407493591308594
38,8,4,32,32,2.383480550999593,107.40595298444443,3.2618250846862793,3.238542079925537
39,8,8,32,32,4.2116753150003206,60.783412977783286,3.261657238006592,3.2383036613464355
40,8,1,32,48,1.6896185410005273,227.27023329929247,3.2931652069091797,3.267423629760742
41,8,2,32,48,2.2085745360000146,173.8678019422739,3.2901296615600586,3.2650146484375
42,8,4,32,48,3.474448520999431,110.52113671540074,3.329874038696289,3.3057422637939453
43,8,8,32,48,6.344774160999805,60.52224874454626,3.2991490364074707,3.2647862434387207
