,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,num_experts
0,32,4,512,128,28.516496222,143.6361595096667,3.6905174255371094,3.66900634765625,3.669036865234375,3.6914634704589844,8
1,32,4,512,256,44.861400094999965,182.60687322848491,3.7965965270996094,3.77874755859375,3.77874755859375,3.798403739929199,8
2,32,4,512,512,86.15573043,190.16726941119381,3.9767723083496094,3.96697998046875,3.96697998046875,3.977764129638672,8
3,32,4,512,1024,177.74081506900006,184.35833090604015,4.307094573974609,4.31317138671875,4.31317138671875,4.3089399337768555,8
4,32,4,512,128,28.766585563000035,142.38742345801128,5.331356048583984,5.3100786209106445,5.31022834777832,5.3326263427734375,16
5,32,4,512,256,49.076765411,166.92216635295725,5.437435150146484,5.4196929931640625,5.4196929931640625,5.4387054443359375,16
6,32,4,512,512,94.07889020300013,174.1517142118405,5.617610931396484,5.607818603515625,5.607818603515625,5.6188812255859375,16
7,32,4,512,1024,192.1763863660001,170.51002269130672,5.947933197021484,5.954010009765625,5.954010009765625,5.9492034912109375,16
8,32,4,512,128,32.2728587470001,126.91779281501489,8.613033294677734,8.591571807861328,8.59158706665039,8.614490509033203,32
9,32,4,512,256,54.77996467999992,149.54372548164287,8.719112396240234,8.701313018798828,8.70157241821289,8.720111846923828,32
10,32,4,512,512,106.33560959799979,154.07820636886808,8.899288177490234,8.889545440673828,8.88956069946289,8.900287628173828,32
11,32,4,512,1024,218.10576633999972,150.23903562879107,9.229610443115234,9.235736846923828,9.23550796508789,9.230609893798828,32
12,32,4,512,128,36.388306270000015,112.5636343062471,11.894710540771484,11.87322998046875,11.87322998046875,11.89577865600586,48
13,32,4,512,256,63.988328646000014,128.02334696566717,12.000789642333984,11.982940673828125,11.983184814453125,12.001766204833984,48
14,32,4,512,512,117.44570615400005,139.50275864931638,12.180965423583984,12.171173095703125,12.171173095703125,12.181941986083984,48
15,32,4,512,1024,253.74652549999996,129.13674358863292,12.511287689208984,12.517120361328125,12.517120361328125,12.512264251708984,48
