,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,num_experts
0,16,2,128,128,3.25091641000472,629.9762103071197,1.1006946563720703,1.1006946563720703,4
1,16,2,128,128,3.886837222002214,526.9065523009015,1.2882099151611328,1.2882099151611328,8
2,16,2,128,128,4.488336342998082,456.2937898348308,1.7657623291015625,1.7657623291015625,16
3,16,2,128,128,4.949916174999089,413.74438022687866,3.2658843994140625,3.2658843994140625,32
4,16,2,128,128,5.184725997001806,395.0064094388606,6.2661285400390625,6.2661285400390625,64
