,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,num_experts
0,16,2,128,128,4.352250240997819,470.5611779184979,1.041318416595459,1.050175666809082,4
1,16,2,128,128,4.848622375000559,422.38801902978963,1.416379451751709,1.425206184387207,8
2,16,2,128,128,5.11539278300188,400.3602630095917,2.1664390563964844,2.175267219543457,16
3,16,2,128,128,5.404869493999286,378.9175672555602,3.666532039642334,3.675389289855957,32
4,16,2,128,128,6.458978253998794,317.07801442620905,6.666806697845459,6.675633430480957,64
