,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,topk
0,32,4,512,128,36.388306270000015,112.5636343062471,11.894710540771484,11.87322998046875,11.87322998046875,11.89577865600586,2
1,32,4,512,256,63.988328646000014,128.02334696566717,12.000789642333984,11.982940673828125,11.983184814453125,12.001766204833984,2
2,32,4,512,512,117.44570615400005,139.50275864931638,12.180965423583984,12.171173095703125,12.171173095703125,12.181941986083984,2
3,32,4,512,1024,253.74652549999996,129.13674358863292,12.511287689208984,12.517120361328125,12.517120361328125,12.512264251708984,2
4,32,4,512,128,37.66306670300014,108.75375689132939,11.894710540771484,11.87322998046875,11.87322998046875,11.895687103271484,3
5,32,4,512,256,64.81786537000016,126.38490874757389,12.000789642333984,11.983016967773438,11.983184814453125,12.001766204833984,3
6,32,4,512,512,124.15245590200016,131.96678133320796,12.180965423583984,12.171188354492188,12.171173095703125,12.181941986083984,3
7,32,4,512,1024,266.99709383100026,122.72792759587483,12.511287689208984,12.517364501953125,12.517120361328125,12.512264251708984,3
8,32,4,512,128,37.66306670300014,108.75375689132939,11.894710540771484,11.87322998046875,11.87322998046875,11.895687103271484,3
9,32,4,512,256,64.81786537000016,126.38490874757389,12.000789642333984,11.983016967773438,11.983184814453125,12.001766204833984,3
10,32,4,512,512,124.15245590200016,131.96678133320796,12.180965423583984,12.171188354492188,12.171173095703125,12.181941986083984,3
11,32,4,512,1024,266.99709383100026,122.72792759587483,12.511287689208984,12.517364501953125,12.517120361328125,12.512264251708984,3
12,32,4,512,128,39.049383732000024,104.8928205400442,11.894710540771484,11.87322998046875,11.87322998046875,11.89577865600586,4
13,32,4,512,256,68.75927890799994,119.14028375662451,12.000789642333984,11.982940673828125,11.983047485351562,12.001766204833984,4
14,32,4,512,512,131.95036037399996,124.16790642754752,12.180965423583984,12.171173095703125,12.171173095703125,12.181941986083984,4
15,32,4,512,1024,275.04158842900006,119.13834626670946,12.511287689208984,12.517364501953125,12.517120361328125,12.512264251708984,4
16,32,4,512,128,39.049383732000024,104.8928205400442,11.894710540771484,11.87322998046875,11.87322998046875,11.89577865600586,4
17,32,4,512,256,68.75927890799994,119.14028375662451,12.000789642333984,11.982940673828125,11.983047485351562,12.001766204833984,4
18,32,4,512,512,131.95036037399996,124.16790642754752,12.180965423583984,12.171173095703125,12.171173095703125,12.181941986083984,4
19,32,4,512,1024,275.04158842900006,119.13834626670946,12.511287689208984,12.517364501953125,12.517120361328125,12.512264251708984,4
20,32,4,512,128,39.049383732000024,104.8928205400442,11.894710540771484,11.87322998046875,11.87322998046875,11.89577865600586,4
21,32,4,512,256,68.75927890799994,119.14028375662451,12.000789642333984,11.982940673828125,11.983047485351562,12.001766204833984,4
22,32,4,512,512,131.95036037399996,124.16790642754752,12.180965423583984,12.171173095703125,12.171173095703125,12.181941986083984,4
23,32,4,512,1024,275.04158842900006,119.13834626670946,12.511287689208984,12.517364501953125,12.517120361328125,12.512264251708984,4
