,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,topk
0,32,4,512,128,44.111414994999905,92.85578348516563,3.8783092498779297,4.32628059387207,4.43736457824707,3.8068981170654297,2
1,32,4,512,256,80.48497416300052,101.7829735946653,3.8783092498779297,4.542375564575195,4.542375564575195,3.872343063354492,2
2,32,4,512,512,153.59294945300098,106.67156310461672,3.920316696166992,4.59815788269043,4.59815788269043,3.920316696166992,2
3,32,4,512,1024,303.9796192160011,107.79670059628504,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,2
4,32,4,512,128,56.302568851000615,72.74978892774278,3.839487075805664,4.28660774230957,4.508119583129883,3.8783092498779297,3
5,32,4,512,256,102.64764678899883,79.8069927198562,3.8783092498779297,4.317262649536133,4.542375564575195,3.8783092498779297,3
6,32,4,512,512,195.56019172800006,83.77983195469612,3.920316696166992,4.59815788269043,4.59815788269043,3.920316696166992,3
7,32,4,512,1024,392.5152469939985,83.48210738550245,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,3
8,32,4,512,128,56.302568851000615,72.74978892774278,3.839487075805664,4.28660774230957,4.508119583129883,3.8783092498779297,3
9,32,4,512,256,102.64764678899883,79.8069927198562,3.8783092498779297,4.317262649536133,4.542375564575195,3.8783092498779297,3
10,32,4,512,512,195.56019172800006,83.77983195469612,3.920316696166992,4.59815788269043,4.59815788269043,3.920316696166992,3
11,32,4,512,1024,392.5152469939985,83.48210738550245,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,3
12,32,4,512,128,65.2094460749995,62.81298564151361,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
13,32,4,512,256,121.14400256000044,67.62200213702407,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
14,32,4,512,512,233.11580501299977,70.28266487159179,3.6664180755615234,4.598146438598633,4.344240188598633,3.6664180755615234,4
15,32,4,512,1024,464.40685490099895,70.55882068533505,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,4
16,32,4,512,128,65.2094460749995,62.81298564151361,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
17,32,4,512,256,121.14400256000044,67.62200213702407,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
18,32,4,512,512,233.11580501299977,70.28266487159179,3.6664180755615234,4.598146438598633,4.344240188598633,3.6664180755615234,4
19,32,4,512,1024,464.40685490099895,70.55882068533505,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,4
20,32,4,512,128,65.2094460749995,62.81298564151361,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
21,32,4,512,256,121.14400256000044,67.62200213702407,3.6244029998779297,4.28660774230957,4.28660774230957,3.6244029998779297,4
22,32,4,512,512,233.11580501299977,70.28266487159179,3.6664180755615234,4.598146438598633,4.344240188598633,3.6664180755615234,4
23,32,4,512,1024,464.40685490099895,70.55882068533505,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,4
