,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,num_experts
0,32,4,512,128,33.56216792900068,122.04217584111109,1.8663616180419922,1.9425525665283203,1.9425525665283203,1.8663616180419922,8
1,32,4,512,256,57.14251231799972,143.3608651018227,2.120267868041992,2.1983203887939453,1.9425525665283203,1.8663616180419922,8
2,32,4,512,512,106.2740885029998,154.16740082920145,2.1622753143310547,2.2541027069091797,2.000185012817383,2.1622753143310547,8
3,32,4,512,1024,214.4628080729999,152.79106104423602,2.2718944549560547,2.379343032836914,2.379343032836914,2.2718944549560547,8
4,32,4,512,128,38.94557562400041,105.17240878770883,2.2179698944091797,2.4113636016845703,2.4113636016845703,2.2179698944091797,16
5,32,4,512,256,68.5745554389996,119.46121921690302,2.4718761444091797,2.4113636016845703,2.4113636016845703,2.2179698944091797,16
6,32,4,512,512,127.30072645500059,128.70311471310862,2.513883590698242,2.468996047973633,2.468996047973633,2.513883590698242,16
7,32,4,512,1024,254.7391999170004,128.63352012833727,2.623502731323242,2.594240188598633,2.594240188598633,2.623502731323242,16
8,32,4,512,128,43.10593674699976,95.02171415599936,2.9211864471435547,3.3489856719970703,3.3489856719970703,2.9211864471435547,32
9,32,4,512,256,76.4091792829995,107.21224958664962,3.1750926971435547,3.3489856719970703,3.3489856719970703,2.9211864471435547,32
10,32,4,512,512,143.9548747050003,113.81344350842535,3.217100143432617,3.660531997680664,3.660531997680664,2.9632015228271484,32
11,32,4,512,1024,284.11279161999937,115.3344761886933,3.326719284057617,3.785776138305664,3.785776138305664,3.326719284057617,32
12,32,4,512,128,44.111414994999905,92.85578348516563,3.8783092498779297,4.32628059387207,4.43736457824707,3.8068981170654297,48
13,32,4,512,256,80.48497416300052,101.7829735946653,3.8783092498779297,4.542375564575195,4.542375564575195,3.872343063354492,48
14,32,4,512,512,153.59294945300098,106.67156310461672,3.920316696166992,4.59815788269043,4.59815788269043,3.920316696166992,48
15,32,4,512,1024,303.9796192160011,107.79670059628504,4.029935836791992,4.723398208618164,4.723398208618164,4.029935836791992,48
