,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,8,8,0.7518847699993785,85.11942594614983,6.925844669342041,6.924623012542725
1,8,2,8,8,1.0200633959993866,62.74119848923438,6.954704761505127,6.937613010406494
2,8,1,8,16,1.282116918000611,99.83488884898952,6.941713809967041,6.940492153167725
3,8,2,8,16,1.6564699339996878,77.27275779218829,7.010246753692627,6.969351291656494
4,8,1,8,24,1.8317917160002253,104.81541013802487,6.958543300628662,6.956361293792725
5,8,2,8,24,2.372201436999603,80.93747731762802,7.09815788269043,7.008661270141602
6,8,1,16,8,0.9363371559993539,68.35144754209045,7.062618732452393,7.060176372528076
7,8,2,16,8,1.0691247530012333,59.86205054212805,7.228691577911377,7.123098850250244
8,8,1,16,16,1.4883676640001795,86.00025591525117,7.078487873077393,7.076045513153076
9,8,2,16,16,1.768482650999431,72.37843126573097,7.292168140411377,7.154837131500244
10,8,1,16,24,2.039867140998467,94.12377705443134,7.094357013702393,7.091914653778076
11,8,2,16,24,2.491951853999126,77.04803754208783,7.355644702911377,7.186575412750244
12,8,1,24,8,1.1595672950006701,55.19300197231159,7.200644493103027,7.1969804763793945
13,8,2,24,8,1.3268254249996971,48.23543383638025,7.13439416885376,7.114861011505127
14,8,1,24,16,1.710088446001464,74.84992972105633,7.217734336853027,7.2140703201293945
15,8,2,24,16,2.0232609970007616,63.26420574989803,7.19207239151001,7.146599292755127
16,8,1,24,24,2.2693146050005453,84.60704372012529,7.234824180603027,7.2311601638793945
17,8,2,24,24,2.7384164150007564,70.11351485780038,7.25829553604126,7.178337574005127
18,16,1,8,8,1.2768886319990997,100.24366792239579,7.164454460144043,7.162163734436035
19,16,2,8,8,1.3346521759995085,95.9051371599061,7.046196460723877,7.027884006500244
20,16,1,8,16,2.209424405000391,115.86728173211915,7.180323600769043,7.178032875061035
21,16,2,8,16,2.1281198670003505,120.29397590317117,7.101738452911377,7.059622287750244
22,16,1,8,24,3.1505698729997675,121.88271185186576,7.196192741394043,7.193902015686035
23,16,2,8,24,3.0350809329993353,126.52051410718809,7.177579879760742,7.091360569000244
24,16,1,16,8,1.6856109550008114,75.93685815831589,7.195283889770508,7.190399169921875
25,16,2,16,8,1.60239431500122,79.88046313051387,7.20647668838501,7.201591968536377
26,16,1,16,16,2.5514016159995663,100.33700629279664,7.211153030395508,7.206268310546875
27,16,2,16,16,2.492347226001584,102.71442009735335,7.26995325088501,7.233330249786377
28,16,1,16,24,3.514868729000227,109.2501682443274,7.227022171020508,7.222137451171875
29,16,2,16,24,3.3953493900007743,113.0958719979956,7.326258182525635,7.265068531036377
30,16,1,24,8,2.022336071000609,63.2931399659347,7.427420139312744,7.418139934539795
31,16,2,24,8,1.9655687820013554,65.12109938461148,7.401670932769775,7.37847375869751
32,16,1,24,16,2.9856368520013348,85.74385053841958,7.444509983062744,7.435229778289795
33,16,2,24,16,2.855277605000083,89.65853251946497,7.452330112457275,7.41265344619751
34,16,1,24,24,3.9501177960009954,97.21229083060571,7.461599826812744,7.452319622039795
35,16,2,24,24,3.875894459999472,99.07390512383877,7.401670932769775,7.37847375869751
