k,world_size,hit_rate_sort,hit_rate_naive,traffic_reduction_pct,avg_transfers_sort,avg_transfers_naive,num_tokens
1,2,0.9975616455078125,0.5006500244140625,99.51212885110677,0.0024383544921875,0.4993499755859375,32768.0
1,4,0.9960296630859375,0.2501068115234375,99.46988502075108,0.0039703369140625,0.7498931884765625,32768.0
1,8,0.9940948486328125,0.1245391845703125,99.32545901892624,0.0059051513671875,0.8754608154296875,32768.0
1,16,0.9909576416015625,0.0622589111328125,99.035698725135,0.0090423583984375,0.9377410888671875,32768.0
1,32,0.9876129150390625,0.0313995361328125,98.72107161275346,0.0123870849609375,0.9686004638671875,32768.0
1,64,0.9827178955078125,0.0157073974609375,98.24420170540725,0.0172821044921875,0.9842926025390625,32768.0
2,2,0.9169097900390625,0.7558837890625,32.28695992551519,0.6754119873046875,0.9974639892578125,32768.0
2,4,0.82674560546875,0.441241455078125,35.094286544816995,0.9729248046875,1.4989898681640625,32768.0
2,8,0.785382080078125,0.2361480712890625,35.88840739232863,1.121966552734375,1.7500244140625,32768.0
2,16,0.765509033203125,0.12203369140625,36.29552582211673,1.1944427490234375,1.8749755859375,32768.0
2,32,0.7557891845703125,0.0625701904296875,36.46335843346065,1.2306884765625,1.93697509765625,32768.0
2,64,0.7499298095703125,0.0311431884765625,36.50775920242978,1.2500701904296876,1.9688568115234375,32768.0
4,2,0.9841033935546875,0.9435821533203125,26.020815186909083,1.4792205810546875,1.9995269775390625,32768.0
4,4,0.961920166015625,0.692095947265625,32.235760710345474,2.033966064453125,3.0015472412109374,32768.0
4,8,0.8440277099609375,0.4224578857421875,24.417126962548686,2.6449951171875,3.4994659423828125,32768.0
4,16,0.7032867431640625,0.2330230712890625,18.147052697572896,3.0690948486328127,3.74952392578125,32768.0
4,32,0.6032867431640625,0.1223236083984375,14.339286931797343,3.31904296875,3.874639892578125,32768.0
4,64,0.5434234619140625,0.0630859375,12.200850961946973,3.4565765380859377,3.9369140625,32768.0
8,2,0.9994781494140625,0.9976409912109375,19.746460705748408,3.2095672607421877,3.9992950439453123,32768.0
8,4,0.9896484375,0.91512451171875,21.345958751239017,4.7213592529296875,6.00269775390625,32768.0
8,8,0.9372589111328125,0.6802459716796875,17.109386168478732,5.799688720703125,6.9968017578125,32768.0
8,16,0.88316650390625,0.423126220703125,15.518496713816862,6.334848022460937,7.498504638671875,32768.0
8,32,0.6738037109375,0.2369476318359375,9.78777284983644,6.99058837890625,7.7490478515625,32768.0
8,64,0.415338134765625,0.12486572265625,3.688475147720735,7.584661865234375,7.87513427734375,32768.0
