,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3
0,16,1,128,128,11.008950010998888,186.03045685136837,5.3762922286987305,4.275397300720215,4.275397300720215,6.158208847045898
1,16,2,128,128,12.009511465999822,170.53149961995553,5.4017815589904785,4.3004021644592285,4.3004021644592285,6.1832146644592285
2,16,4,128,128,16.147230788000343,126.8328933232286,5.473071575164795,4.371692180633545,4.371692180633545,6.254504680633545
3,16,1,128,256,22.908509099000185,178.79819163695666,5.5010480880737305,4.400153160095215,4.400153160095215,6.282964706420898
4,16,2,128,256,24.18502086599983,169.3610281626138,5.5265374183654785,4.4251580238342285,4.4251580238342285,6.3079705238342285
5,16,4,128,256,32.49035265400016,126.06819149116582,5.597827434539795,4.496448040008545,4.496448040008545,6.379260540008545
6,16,1,128,384,37.0709138609991,165.736405178397,5.6258039474487305,4.515997886657715,4.515997886657715,6.398809432983398
7,16,2,128,384,37.794168754000566,162.56476071721113,5.6334710121154785,4.5320916175842285,4.5320916175842285,6.4149041175842285
8,16,4,128,384,49.93035918700025,123.05138797398511,5.633471965789795,4.532092571258545,4.532092571258545,6.414905071258545
9,16,1,128,512,53.86692688700077,152.07847325660046,5.6436262130737305,4.778535842895508,4.778535842895508,6.536349296569824
10,16,2,128,512,52.968943546000446,154.65666202849079,5.6334710121154785,4.738855361938477,4.739130020141602,6.496059417724609
11,16,4,128,512,67.94462663899958,120.56876908788352,5.633471965789795,4.720250606536865,4.72022008895874,6.4764723777771
12,16,1,256,128,14.761977565000052,138.73479965554958,6.835219383239746,5.796820640563965,5.796820640563965,7.648366928100586
13,16,2,256,128,14.26189843299926,143.5993959444646,6.817110538482666,5.778231143951416,5.778231143951416,7.6297783851623535
14,16,4,256,128,17.90281553099976,114.39541431088142,6.809298992156982,5.770419597625732,5.770419597625732,7.62196683883667
15,16,1,256,256,28.91650227199989,141.64922027814526,6.835219383239746,5.796820640563965,5.796820640563965,7.648366928100586
16,16,2,256,256,27.84529690599993,147.09844947343404,6.817110538482666,5.778231143951416,5.778231143951416,7.6297783851623535
17,16,4,256,256,35.14484387900029,116.54625680233673,6.809298992156982,5.770419597625732,5.770419597625732,7.62196683883667
18,16,1,256,384,45.57499799700054,134.8107574333708,6.835219383239746,5.796820640563965,5.796820640563965,7.648366928100586
19,16,2,256,384,42.94261618499968,143.07465510557705,6.817110538482666,5.778231143951416,5.778231143951416,7.6297783851623535
20,16,4,256,384,53.564959182000166,114.70185161766378,6.809298992156982,5.770419597625732,5.770419597625732,7.62196683883667
21,16,1,256,512,64.48773867600084,127.03190045410382,6.835219383239746,5.796820640563965,5.796820640563965,7.648366928100586
22,16,2,256,512,59.20373295100035,138.3696532578455,6.817110538482666,5.778231143951416,5.778231143951416,7.6297783851623535
23,16,4,256,512,72.65765644399926,112.7479250079304,6.809298992156982,5.770419597625732,5.770419597625732,7.62196683883667
24,16,1,384,128,18.74926495100044,109.23094880531414,8.026812553405762,7.050909996032715,7.050909996032715,8.871191024780273
25,16,2,384,128,16.769938078999985,122.12328932595112,8.000749588012695,7.0243706703186035,7.0243706703186035,8.84465217590332
26,16,4,384,128,19.712925659000575,103.89122525123099,7.99293851852417,7.01655912399292,7.01655912399292,8.836841583251953
27,16,1,384,256,35.315031732000534,115.98460483014179,8.026812553405762,7.050909996032715,7.050909996032715,8.871191024780273
28,16,2,384,256,31.695722469999964,129.22879432317305,8.000749588012695,7.0243706703186035,7.0243706703186035,8.84465217590332
29,16,4,384,256,37.946352547999595,107.94186331397292,7.99293851852417,7.01655912399292,7.01655912399292,8.836841583251953
30,16,1,384,384,54.34020621599939,113.06545241249052,8.026812553405762,7.050909996032715,7.050909996032715,8.871191024780273
31,16,2,384,384,47.98944828999993,128.02814408017045,8.000749588012695,7.0243706703186035,7.0243706703186035,8.84465217590332
32,16,4,384,384,56.95676673399976,107.87129172366454,7.99293851852417,7.01655912399292,7.01655912399292,8.836841583251953
33,16,1,384,512,75.9708861600011,107.83078115933722,8.080279350280762,7.050909996032715,7.050909996032715,8.871191024780273
34,16,2,384,512,65.92092900699936,124.2700933284813,8.090959548950195,7.0243706703186035,7.0243706703186035,8.84465217590332
35,16,4,384,512,78.06429103900155,104.93914555513238,8.154438018798828,7.01655912399292,7.01655912399292,8.836841583251953
36,32,1,128,128,16.542516323999735,247.6044103433986,7.1236724853515625,5.978645324707031,5.799507141113281,7.651053428649902
37,32,2,128,128,15.118503177000093,270.92629158098663,7.103365421295166,5.993013858795166,5.778231143951416,7.6297783851623535
38,32,4,128,128,18.590676114001326,220.32549945373697,7.095553874969482,6.056491374969482,5.770419597625732,7.62196683883667
39,32,1,128,256,35.048528723000345,233.73306379688512,7.1236724853515625,6.085578918457031,5.799507141113281,7.651053428649902
40,32,2,128,256,31.047430338001504,263.85436446162623,7.103365421295166,6.064302921295166,5.778231143951416,7.6297783851623535
41,32,4,128,256,37.55674434899993,218.12327298327548,7.095553874969482,6.056491374969482,5.770419597625732,7.62196683883667
42,32,1,128,384,58.908130301999336,208.59599408441838,7.1236724853515625,6.085578918457031,5.799507141113281,7.651053428649902
43,32,2,128,384,50.18484456999977,244.85479840154173,7.103365421295166,6.064302921295166,5.778231143951416,7.6297783851623535
44,32,4,128,384,58.54901258600148,209.87544379079665,7.095553874969482,6.056491374969482,5.770419597625732,7.62196683883667
45,32,1,128,512,87.97985560100096,186.22444749515589,7.1236724853515625,6.555972099304199,6.269900321960449,7.871692657470703
46,32,2,128,512,72.37272953200045,226.38361308116234,7.103365421295166,6.476731777191162,6.191331386566162,7.792087078094482
47,32,4,128,512,81.64941995700065,200.66278497297802,7.095553874969482,6.438668251037598,6.152138710021973,7.752530097961426
48,32,1,256,128,24.53535681500034,166.94275248916705,9.506858825683594,8.593757629394531,8.307685852050781,10.096701622009277
49,32,2,256,128,20.11545018200013,203.62457528617557,9.470643997192383,8.556581497192383,8.270509719848633,10.059526443481445
50,32,4,256,128,22.166895448001014,184.78004777928308,9.455020904541016,8.540958404541016,8.254886627197266,10.043903350830078
51,32,1,256,256,48.186593424999955,170.00579243582433,9.506858825683594,8.593757629394531,8.307685852050781,10.096701622009277
52,32,2,256,256,39.00736006199986,210.01164874985918,9.470643997192383,8.556581497192383,8.270509719848633,10.059526443481445
53,32,4,256,256,42.97563102099957,190.6196559626331,9.455020904541016,8.540958404541016,8.254886627197266,10.043903350830078
54,32,1,256,384,77.22681777700018,159.11571075585135,9.506858825683594,8.593757629394531,8.307685852050781,10.096701622009277
55,32,2,256,384,61.456264532000205,199.9470695717546,9.470643997192383,8.556581497192383,8.270509719848633,10.059526443481445
56,32,4,256,384,65.83914799500053,186.63668006355556,9.455020904541016,8.540958404541016,8.254886627197266,10.043903350830078
57,32,1,256,512,111.06974631599951,147.51091582929004,9.506858825683594,8.593757629394531,8.307685852050781,10.096701622009277
58,32,2,256,512,87.04584329799945,188.22265807581127,9.470643997192383,8.556581497192383,8.270509719848633,10.059526443481445
59,32,4,256,512,91.068847646,179.90784360956644,9.455020904541016,8.540958404541016,8.254886627197266,10.043903350830078
60,32,1,384,128,33.04495033799867,123.95237269550303,11.890045166015625,11.101936340332031,10.815864562988281,12.542349815368652
61,32,2,384,128,25.455660489000365,160.90723718482656,11.837923049926758,11.048860549926758,10.762788772583008,12.489274978637695
62,32,4,384,128,25.902066915999967,158.13409845952717,11.81448745727539,11.02542495727539,10.73935317993164,12.465839385986328
63,32,1,384,256,61.68111982600021,132.81211532976832,11.890045166015625,11.101936340332031,10.815864562988281,12.542349815368652
64,32,2,384,256,47.63865370199892,171.96119880390876,11.837923049926758,11.048860549926758,10.762788772583008,12.489274978637695
65,32,4,384,256,48.7947577240011,167.88688748772145,11.81448745727539,11.02542495727539,10.73935317993164,12.465839385986328
66,32,1,384,384,96.08287982299953,127.8895888907214,11.890045166015625,11.101936340332031,10.815864562988281,12.542349815368652
67,32,2,384,384,73.51237496000067,167.1555300272384,11.837923049926758,11.048860549926758,10.762788772583008,12.489274978637695
68,32,4,384,384,73.85758436699871,166.37424721259316,11.81448745727539,11.02542495727539,10.73935317993164,12.465839385986328
69,32,1,384,512,135.3181508409998,121.07762261140684,11.890045166015625,11.101936340332031,10.815864562988281,12.542349815368652
70,32,2,384,512,102.62260218600022,159.65293854373832,11.837923049926758,11.048860549926758,10.762788772583008,12.489274978637695
71,32,4,384,512,101.09569277299852,162.0642734679986,11.81448745727539,11.02542495727539,10.73935317993164,12.465839385986328
