,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1
0,8,1,1,1,1.707238134000363,4.685930943479206,2.36680269241333,2.3197531700134277
1,16,1,1,1,3.5915144859991415,4.4549451387076555,2.7097291946411133,2.5203146934509277
2,24,1,1,1,5.675633971999559,4.22860249945693,3.052161693572998,2.7208762168884277
3,32,1,1,1,7.8468513379993965,4.078068848461018,3.3946566581726074,2.9224143028259277
4,40,1,1,1,9.94642581900007,4.021545098500646,3.735846996307373,3.1227316856384277
5,48,1,1,1,12.174064636001276,3.942808046053401,4.077583312988281,3.3230490684509277
6,56,1,1,1,14.344467509001333,3.90394414884061,4.419140815734863,3.5233664512634277
7,64,1,1,1,16.51326893999976,3.87567114861032,4.764895915985107,3.7236838340759277
