,batch_size,num_microbatches,prompt_len,new_tokens,time (s),throughput (tokens/s),peak memory GPU:0,peak memory GPU:1,peak memory GPU:2,peak memory GPU:3,size
0,32,4,256,128,21.60305798599984,189.60278691352258,3.9108667373657227,3.8791818618774414,3.879514694213867,3.908651351928711,0.75
1,32,4,256,256,38.4540677949999,213.03337903474514,3.997586250305176,3.9689764976501465,3.969325065612793,3.9954447746276855,0.75
2,32,4,256,512,78.13098606299991,209.6991325156062,4.141976356506348,4.118988990783691,4.119321823120117,4.139760971069336,0.75
3,32,4,256,1024,163.28395849400022,200.6810730351325,4.398087501525879,4.386910438537598,4.387243270874023,4.395872116088867,0.75
4,32,4,256,128,25.717263055999865,159.27044767870035,6.261669158935547,6.227869033813477,6.226458549499512,6.265683174133301,1.0
5,32,4,256,256,48.30129857599991,169.6020654001726,6.351955413818359,6.322031021118164,6.321467399597168,6.355999946594238,1.0
6,32,4,256,512,94.15254255199989,174.01548121710272,6.516780853271484,6.494638442993164,6.493288993835449,6.521008491516113,1.0
7,32,4,256,1024,200.24744428699978,163.63754412284064,6.830501556396484,6.824457168579102,6.823056221008301,6.834515571594238,1.0
8,32,4,256,128,26.097038157000043,156.95267698036932,8.63175106048584,8.587225914001465,8.587225914001465,8.632699966430664,1.25
9,32,4,256,256,47.74855146400023,171.56541400373823,8.755194664001465,8.715240478515625,8.715240478515625,8.756415367126465,1.25
10,32,4,256,512,95.07979129299974,172.318426210158,8.97360897064209,8.943363189697266,8.943363189697266,8.97482967376709,1.25
11,32,4,256,1024,204.13177817700034,160.52375721523984,9.37924861907959,9.367923736572266,9.367923736572266,9.38046932220459,1.25
12,32,4,256,128,29.542454021000026,138.64792671212723,12.041765213012695,11.991289138793945,11.993155479431152,12.046662330627441,1.5
13,32,4,256,256,54.83211462099996,149.40149685313384,12.187883377075195,12.143220901489258,12.145087242126465,12.193589210510254,1.5
14,32,4,256,512,109.442815225,149.70375137295815,12.443498611450195,12.410554885864258,12.413352012634277,12.449280738830566,1.5
15,32,4,256,1024,246.27648521899982,133.0537098207377,12.921525955200195,12.91356086730957,12.915427207946777,12.927231788635254,1.5
